;;;
Informações de Saúde;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;
Ajuda;;;
Notas Técnicas;;;
DATASUS;;;
Taxa de analfabetismo - Brasil;;;
Taxa de analfabetismo segundo Município;;;
Período: 1991;;;
Município;Taxa de analfabetismo;;
Fonte: IBGE - Censos Demográficos;;;
Consulte o sítio da Secretaria Estadual de Saúde e do IBGE para mais informações.;;;
;;;
290475 BURITIRAMA;55,9;;
290480 CAATIBA;57,1;;
290485 CABACEIRAS DO PARAGUACU;51,1;;
290490 CACHOEIRA;33;;
290500 CACULE;36,9;;
290510 CAEM;37,5;;
290515 CAETANOS;58,2;;
290520 CAETITE;44,5;;
290530 CAFARNAUM;36,7;;
290540 CAIRU;52,7;;
290550 CALDEIRAO GRANDE;42,3;;
290560 CAMACAN;41,6;;
290570 CAMACARI;18,6;;
290580 CAMAMU;48,7;;
290590 CAMPO ALEGRE DE LOURDES;45,5;;
290600 CAMPO FORMOSO;44,9;;
290610 CANAPOLIS;51,8;;
290620 CANARANA;30,9;;
290630 CANAVIEIRAS;41,8;;
290640 CANDEAL;39,4;;
290650 CANDEIAS;22,3;;
290660 CANDIBA;45,2;;
290670 CANDIDO SALES;47,1;;
290680 CANSANCAO;47,5;;
290682 CANUDOS;51,3;;
290685 CAPELA DO ALTO ALEGRE;38;;
290687 CAPIM GROSSO;43;;
290689 CARAIBAS;55,8;;
290690 CARAVELAS;51;;
290700 CARDEAL DA SILVA;48,5;;
290710 CARINHANHA;49,8;;
290720 CASA NOVA;45,8;;
290730 CASTRO ALVES;46;;
290740 CATOLANDIA;47,9;;
290750 CATU;26,7;;
290755 CATURAMA;53,6;;
290760 CENTRAL;31,3;;
290770 CHORROCHO;43,7;;
290780 CICERO DANTAS;52,6;;
290790 CIPO;42,1;;
290800 COARACI;42,9;;
290810 COCOS;51,7;;
290820 CONCEICAO DA FEIRA;36;;
290830 CONCEICAO DO ALMEIDA;43,9;;
290840 CONCEICAO DO COITE;40;;
290850 CONCEICAO DO JACUIPE;26,9;;
290860 CONDE;55,6;;
290870 CONDEUBA;49,1;;
290880 CONTENDAS DO SINCORA;53,9;;
290890 CORACAO DE MARIA;45,9;;
290900 CORDEIROS;51,7;;
290910 CORIBE;54,8;;
290920 CORONEL JOAO SA;79,4;;
290930 CORRENTINA;48,6;;
290940 COTEGIPE;54,1;;
290950 CRAVOLANDIA;52,3;;
290960 CRISOPOLIS;55,4;;
290970 CRISTOPOLIS;53,5;;
290980 CRUZ DAS ALMAS;26,2;;
290990 CURACA;43,7;;
291000 DARIO MEIRA;61,9;;
291005 DIAS D'AVILA;19,8;;
291010 DOM BASILIO;45,5;;
291020 DOM MACEDO COSTA;39,6;;
291030 ELISIO MEDRADO;41,8;;
291040 ENCRUZILHADA;60,1;;
291050 ENTRE RIOS;40,9;;
291060 ESPLANADA;42,6;;
291070 EUCLIDES DA CUNHA;54;;
291072 EUNAPOLIS;32,9;;
291075 FATIMA;62;;
291077 FEIRA DA MATA;38,9;;
291080 FEIRA DE SANTANA;20,7;;
291085 FILADELFIA;44;;
291090 FIRMINO ALVES;47,8;;
291100 FLORESTA AZUL;40;;
291110 FORMOSA DO RIO PRETO;47,4;;
291120 GANDU;35,9;;
291125 GAVIAO;51,2;;
291130 GENTIO DO OURO;53,1;;
291140 GLORIA;52,6;;
291150 GONGOGI;49,7;;
291160 GOVERNADOR MANGABEIRA;37,2;;
291165 GUAJERU;43,6;;
291170 GUANAMBI;34,3;;
291180 GUARATINGA;53,7;;
291185 HELIOPOLIS;62,2;;
291190 IACU;53,3;;
291200 IBIASSUCE;41;;
291210 IBICARAI;41,1;;
291220 IBICOARA;41,5;;
291230 IBICUI;48;;
291240 IBIPEBA;37,7;;
291250 IBIPITANGA;44,7;;
291260 IBIQUERA;45,5;;
291270 IBIRAPITANGA;56,3;;
291280 IBIRAPUA;43,8;;
291290 IBIRATAIA;46,9;;
291300 IBITIARA;43,3;;
291310 IBITITA;33,9;;
291320 IBOTIRAMA;41;;
291330 ICHU;27,3;;
291340 IGAPORA;42,8;;
291345 IGRAPIUNA;62,7;;
291350 IGUAI;54,5;;
291360 ILHEUS;34,5;;
291370 INHAMBUPE;47,1;;
291380 IPECAETA;45,4;;
291390 IPIAU;37,7;;
291400 IPIRA;45,4;;
291410 IPUPIARA;27,5;;
291420 IRAJUBA;50,2;;
291430 IRAMAIA;53,8;;
291440 IRAQUARA;36,3;;
291450 IRARA;42,3;;
291460 IRECE;26,1;;
291465 ITABELA;44,1;;
291470 ITABERABA;34,3;;
291480 ITABUNA;22,2;;
291490 ITACARE;54,4;;
291500 ITAETE;61,7;;
291510 ITAGI;50;;
291520 ITAGIBA;48,9;;
291530 ITAGIMIRIM;48,1;;
291535 ITAGUACU DA BAHIA;59,4;;
291540 ITAJU DO COLONIA;48,9;;
291550 ITAJUIPE;41,3;;
291560 ITAMARAJU;40,8;;
291570 ITAMARI;53,4;;
291580 ITAMBE;46,6;;
291590 ITANAGRA;52,8;;
291600 ITANHEM;41,7;;
291610 ITAPARICA;18,1;;
291620 ITAPE;42,7;;
291630 ITAPEBI;58,3;;
291640 ITAPETINGA;32;;
291650 ITAPICURU;61,7;;
291660 ITAPITANGA;45,9;;
291670 ITAQUARA;58,1;;
291680 ITARANTIM;43,2;;
291685 ITATIM;49,6;;
291690 ITIRUCU;44,1;;
291700 ITIUBA;43;;
291710 ITORORO;48;;
291720 ITUACU;52,9;;
291730 ITUBERA;47;;
291733 IUIU;52,8;;
291735 JABORANDI;47,5;;
291740 JACARACI;44,9;;
291750 JACOBINA;33,6;;
291760 JAGUAQUARA;49,6;;
291770 JAGUARARI;41,6;;
291780 JAGUARIPE;57,7;;
291790 JANDAIRA;57,8;;
291800 JEQUIE;33,6;;
291810 JEREMOABO;61,6;;
291820 JIQUIRICA;49;;
291830 JITAUNA;56,8;;
291835 JOAO DOURADO;41;;
291840 JUAZEIRO;27,9;;
291845 JUCURUCU;60,5;;
291850 JUSSARA;37,9;;
291855 JUSSARI;45,1;;
291860 JUSSIAPE;35;;
291870 LAFAIETE COUTINHO;51,9;;
291875 LAGOA REAL;53;;
291880 LAJE;47,8;;
291890 LAJEDAO;40,3;;
291900 LAJEDINHO;44,4;;
291905 LAJEDO DO TABOCAL;51;;
291910 LAMARAO;52,3;;
291915 LAPAO;34,7;;
291920 LAURO DE FREITAS;18,4;;
291930 LENCOIS;39,7;;
291940 LICINIO DE ALMEIDA;36,2;;
291950 LIVRAMENTO DE NOSSA SENHORA;41,6;;
291960 MACAJUBA;50,5;;
291970 MACARANI;51,8;;
291980 MACAUBAS;60,5;;
291990 MACURURE;47,4;;
291992 MADRE DE DEUS;14,2;;
291995 MAETINGA;47,1;;
292000 MAIQUINIQUE;43,4;;
292010 MAIRI;36,9;;
292020 MALHADA;52,8;;
292030 MALHADA DE PEDRAS;54,2;;
292040 MANOEL VITORINO;50,9;;
292045 MANSIDAO;40,2;;
292050 MARACAS;48,7;;
292060 MARAGOGIPE;47,2;;
292070 MARAU;56;;
292080 MARCIONILIO SOUZA;51,8;;
292090 MASCOTE;53,3;;
292100 MATA DE SAO JOAO;32,3;;
292105 MATINA;57,7;;
292110 MEDEIROS NETO;40,3;;
292120 MIGUEL CALMON;43,7;;
292130 MILAGRES;38,3;;
292140 MIRANGABA;50,4;;
292145 MIRANTE;47,7;;
292150 MONTE SANTO;62,4;;
292160 MORPARA;49,1;;
292170 MORRO DO CHAPEU;41,7;;
292180 MORTUGABA;38,7;;
292190 MUCUGE;47,1;;
292200 MUCURI;54,5;;
292205 MULUNGU DO MORRO;43;;
292210 MUNDO NOVO;43,3;;
292220 MUNIZ FERREIRA;43,9;;
292225 MUQUEM DE SAO FRANCISCO;57,6;;
292230 MURITIBA;30,3;;
292240 MUTUIPE;44,3;;
292250 NAZARE;40,2;;
292260 NILO PECANHA;57,7;;
292265 NORDESTINA;54,5;;
292270 NOVA CANAA;44,7;;
292273 NOVA FATIMA;42,2;;
292275 NOVA IBIA;53;;
292280 NOVA ITARANA;61,5;;
292285 NOVA REDENCAO;46,2;;
292290 NOVA SOURE;55,2;;
292300 NOVA VICOSA;44,3;;
292303 NOVO HORIZONTE;35,3;;
292305 NOVO TRIUNFO;59;;
292310 OLINDINA;62,7;;
292320 OLIVEIRA DOS BREJINHOS;42,5;;
292330 OURICANGAS;49,9;;
292335 OUROLANDIA;64,3;;
292340 PALMAS DE MONTE ALTO;54,4;;
292350 PALMEIRAS;35,4;;
292360 PARAMIRIM;40,1;;
292370 PARATINGA;47,7;;
292380 PARIPIRANGA;48,1;;
292390 PAU BRASIL;54,9;;
292400 PAULO AFONSO;28,5;;
292405 PE DE SERRA;35,4;;
292410 PEDRAO;39,2;;
292420 PEDRO ALEXANDRE;78;;
292430 PIATA;43,8;;
292440 PILAO ARCADO;62,9;;
292450 PINDAI;45,7;;
292460 PINDOBACU;49,1;;
292465 PINTADAS;50,7;;
292467 PIRAI DO NORTE;63,1;;
292470 PIRIPA;51,2;;
292480 PIRITIBA;39;;
292490 PLANALTINO;59,8;;
292500 PLANALTO;57,5;;
292510 POCOES;46,6;;
292520 POJUCA;24,4;;
292525 PONTO NOVO;53,7;;
292530 PORTO SEGURO;34,7;;
292540 POTIRAGUA;46,5;;
292550 PRADO;43;;
292560 PRESIDENTE DUTRA;31,6;;
292570 PRESIDENTE JANIO QUADROS;57;;
292575 PRESIDENTE TANCREDO NEVES;58,3;;
292580 QUEIMADAS;49;;
292590 QUIJINGUE;66,4;;
292593 QUIXABEIRA;49,9;;
292595 RAFAEL JAMBEIRO;52,1;;
292600 REMANSO;49,6;;
292610 RETIROLANDIA;36,9;;
292620 RIACHAO DAS NEVES;48;;
292630 RIACHAO DO JACUIPE;36,2;;
292640 RIACHO DE SANTANA;45,9;;
292650 RIBEIRA DO AMPARO;68,7;;
292660 RIBEIRA DO POMBAL;48,2;;
292665 RIBEIRAO DO LARGO;65,5;;
292670 RIO DE CONTAS;38,9;;
292680 RIO DO ANTONIO;51,2;;
292690 RIO DO PIRES;42,4;;
292700 RIO REAL;45,7;;
292710 RODELAS;30,7;;
292720 RUY BARBOSA;45;;
292730 SALINAS DA MARGARIDA;29,7;;
292740 SALVADOR;9,3;;
292750 SANTA BARBARA;48,1;;
292760 SANTA BRIGIDA;65,9;;
292770 SANTA CRUZ CABRALIA;43,2;;
292780 SANTA CRUZ DA VITORIA;50,1;;
292790 SANTA INES;52,2;;
292800 SANTALUZ;42,2;;
292805 SANTA LUZIA;48,5;;
292810 SANTA MARIA DA VITORIA;46,7;;
292820 SANTANA;41,7;;
292830 SANTANOPOLIS;43,4;;
292840 SANTA RITA DE CASSIA;40;;
292850 SANTA TERESINHA;50,9;;
292860 SANTO AMARO;27,3;;
292870 SANTO ANTONIO DE JESUS;27,8;;
292880 SANTO ESTEVAO;40,7;;
292890 SAO DESIDERIO;60,7;;
292895 SAO DOMINGOS;34,2;;
292900 SAO FELIX;34,6;;
292905 SAO FELIX DO CORIBE;44,6;;
292910 SAO FELIPE;37,5;;
292920 SAO FRANCISCO DO CONDE;28;;
292925 SAO GABRIEL;41,1;;
292930 SAO GONCALO DOS CAMPOS;37,4;;
292935 SAO JOSE DA VITORIA;54,6;;
292937 SAO JOSE DO JACUIPE;56,5;;
292940 SAO MIGUEL DAS MATAS;43,9;;
292950 SAO SEBASTIAO DO PASSE;32;;
292960 SAPEACU;37,8;;
292970 SATIRO DIAS;53;;
292975 SAUBARA;32,1;;
292980 SAUDE;48;;
292990 SEABRA;34,8;;
293000 SEBASTIAO LARANJEIRAS;46,7;;
293010 SENHOR DO BONFIM;32;;
293015 SERRA DO RAMALHO;43,4;;
293020 SENTO SE;51,8;;
293030 SERRA DOURADA;47,6;;
293040 SERRA PRETA;46,3;;
293050 SERRINHA;33;;
293060 SERROLANDIA;43,5;;
293070 SIMOES FILHO;17,7;;
293075 SITIO DO MATO;50,1;;
293076 SITIO DO QUINTO;62,3;;
293077 SOBRADINHO;28,3;;
293080 SOUTO SOARES;34,7;;
293090 TABOCAS DO BREJO VELHO;55;;
293100 TANHACU;56,9;;
293105 TANQUE NOVO;54,5;;
293110 TANQUINHO;35,5;;
293120 TAPEROA;54,9;;
293130 TAPIRAMUTA;52,2;;
293135 TEIXEIRA DE FREITAS;32,7;;
293140 TEODORO SAMPAIO;36,9;;
293150 TEOFILANDIA;52,5;;
293160 TEOLANDIA;61,7;;
293170 TERRA NOVA;34;;
293180 TREMEDAL;57,4;;
293190 TUCANO;56,1;;
293200 UAUA;45,9;;
293210 UBAIRA;44,3;;
293220 UBAITABA;42,2;;
293230 UBATA;43,1;;
293240 UIBAI;27,8;;
293245 UMBURANAS;59,6;;
293250 UNA;46,1;;
293260 URANDI;47,1;;
293270 URUCUCA;46,3;;
293280 UTINGA;49,7;;
293290 VALENCA;38,4;;
293300 VALENTE;36,7;;
293305 VARZEA DA ROCA;47,5;;
293310 VARZEA DO POCO;34,3;;
293315 VARZEA NOVA;50,6;;
293317 VARZEDO;49,5;;
293320 VERA CRUZ;22,6;;
293325 VEREDA;47,2;;
293330 VITORIA DA CONQUISTA;28,5;;
293340 WAGNER;37;;
293345 WANDERLEY;55,6;;
293350 WENCESLAU GUIMARAES;61,9;;
293360 XIQUE-XIQUE;41;;
310010 ABADIA DOS DOURADOS;16,1;;
310020 ABAETE;15,7;;
310030 ABRE CAMPO;23,3;;
310040 ACAIACA;27,8;;
310050 ACUCENA;32,6;;
310060 AGUA BOA;52,5;;
310070 AGUA COMPRIDA;19,5;;
310080 AGUANIL;22,7;;
310090 AGUAS FORMOSAS;47,4;;
310100 AGUAS VERMELHAS;50,2;;
310110 AIMORES;25,3;;
310120 AIURUOCA;24,8;;
310130 ALAGOA;19,6;;
310140 ALBERTINA;21,8;;
310150 ALEM PARAIBA;14,4;;
310160 ALFENAS;11,3;;
310170 ALMENARA;45,4;;
310180 ALPERCATA;28,3;;
310190 ALPINOPOLIS;15,7;;
310200 ALTEROSA;22,4;;
310210 ALTO RIO DOCE;25,1;;
310220 ALVARENGA;30,3;;
310230 ALVINOPOLIS;14,2;;
310240 ALVORADA DE MINAS;35,2;;
310250 AMPARO DO SERRA;26,1;;
310260 ANDRADAS;17,1;;
310270 CACHOEIRA DE PAJEU;45,1;;
310280 ANDRELANDIA;19,8;;
310290 ANTONIO CARLOS;23,2;;
310300 ANTONIO DIAS;33,8;;
310310 ANTONIO PRADO DE MINAS;19;;
310320 ARACAI;12,4;;
310330 ARACITABA;28,1;;
310340 ARACUAI;35,3;;
310350 ARAGUARI;11,1;;
310360 ARANTINA;25,3;;
310370 ARAPONGA;40,3;;
310380 ARAPUA;17,5;;
310390 ARAUJOS;19,4;;
310400 ARAXA;10,4;;
310410 ARCEBURGO;19,8;;
310420 ARCOS;12;;
310430 AREADO;15,9;;
310440 ARGIRITA;22,9;;
310450 ARINOS;29;;
310460 ASTOLFO DUTRA;15,5;;
310470 ATALEIA;44,4;;
310480 AUGUSTO DE LIMA;26,4;;
310490 BAEPENDI;19,8;;
310500 BALDIM;20,2;;
310510 BAMBUI;14,7;;
310520 BANDEIRA;53,9;;
310530 BANDEIRA DO SUL;22,8;;
310540 BARAO DE COCAIS;12,4;;
310550 BARAO DE MONTE ALTO;25,8;;
310560 BARBACENA;9,9;;
310570 BARRA LONGA;23,5;;
310590 BARROSO;11,8;;
310600 BELA VISTA DE MINAS;12,6;;
310610 BELMIRO BRAGA;24,6;;
310620 BELO HORIZONTE;6,7;;
310630 BELO ORIENTE;26,5;;
310640 BELO VALE;18;;
310650 BERILO;34,9;;
310660 BERTOPOLIS;51,2;;
310670 BETIM;14,1;;
310680 BIAS FORTES;21,2;;
310690 BICAS;12,3;;
310700 BIQUINHAS;19,1;;
310710 BOA ESPERANCA;15,7;;
310720 BOCAINA DE MINAS;21,2;;
310730 BOCAIUVA;28,2;;
310740 BOM DESPACHO;12;;
310750 BOM JARDIM DE MINAS;17,5;;
310760 BOM JESUS DA PENHA;20,4;;
310770 BOM JESUS DO AMPARO;18,1;;
310780 BOM JESUS DO GALHO;28,1;;
310790 BOM REPOUSO;22;;
310800 BOM SUCESSO;20,9;;
310810 BONFIM;20,2;;
310820 BONFINOPOLIS DE MINAS;22,8;;
310830 BORDA DA MATA;12,4;;
310840 BOTELHOS;17,5;;
310850 BOTUMIRIM;31,2;;
310860 BRASILIA DE MINAS;32,6;;
310870 BRAS PIRES;22,7;;
310880 BRAUNAS;31,3;;
310890 BRAZOPOLIS;17,8;;
310900 BRUMADINHO;14,1;;
310910 BUENO BRANDAO;19,4;;
310920 BUENOPOLIS;32,1;;
310930 BURITIS;27,6;;
310940 BURITIZEIRO;29;;
310950 CABO VERDE;21,2;;
310960 CACHOEIRA DA PRATA;7,9;;
310970 CACHOEIRA DE MINAS;14,6;;
310980 CACHOEIRA DOURADA;28,6;;
310990 CAETANOPOLIS;10,4;;
311000 CAETE;9,5;;
311010 CAIANA;22,8;;
311020 CAJURI;25,2;;
311030 CALDAS;16,9;;
311040 CAMACHO;29,6;;
311050 CAMANDUCAIA;23,7;;
311060 CAMBUI;15,9;;
311070 CAMBUQUIRA;17,7;;
311080 CAMPANARIO;40,1;;
311090 CAMPANHA;12,3;;
311100 CAMPESTRE;16,7;;
311110 CAMPINA VERDE;16;;
311120 CAMPO BELO;17;;
311130 CAMPO DO MEIO;18,4;;
311140 CAMPO FLORIDO;15,8;;
311150 CAMPOS ALTOS;20,8;;
311160 CAMPOS GERAIS;19,1;;
311170 CANAA;35,3;;
311180 CANAPOLIS;20,4;;
311190 CANA VERDE;22,1;;
311200 CANDEIAS;27,9;;
311210 CAPARAO;25,4;;
311220 CAPELA NOVA;15,4;;
311230 CAPELINHA;38;;
311240 CAPETINGA;21,8;;
311250 CAPIM BRANCO;11,8;;
311260 CAPINOPOLIS;21,7;;
311270 CAPITAO ENEAS;35,2;;
311280 CAPITOLIO;13,5;;
311290 CAPUTIRA;27,1;;
311300 CARAI;51,1;;
311310 CARANAIBA;16,6;;
311320 CARANDAI;14,8;;
311330 CARANGOLA;22;;
311340 CARATINGA;23,6;;
311350 CARBONITA;40,2;;
311360 CAREACU;18,8;;
311370 CARLOS CHAGAS;39,6;;
311380 CARMESIA;27,7;;
311390 CARMO DA CACHOEIRA;26,9;;
311400 CARMO DA MATA;17,2;;
311410 CARMO DE MINAS;22,9;;
311420 CARMO DO CAJURU;16;;
311430 CARMO DO PARANAIBA;13,6;;
311440 CARMO DO RIO CLARO;17,7;;
311450 CARMOPOLIS DE MINAS;16,8;;
311460 CARRANCAS;15,7;;
311470 CARVALHOPOLIS;19;;
311480 CARVALHOS;24,6;;
311490 CASA GRANDE;23,6;;
311500 CASCALHO RICO;11,6;;
311510 CASSIA;18,3;;
311520 CONCEICAO DA BARRA DE MINAS;14,4;;
311530 CATAGUASES;12,3;;
311540 CATAS ALTAS DA NORUEGA;17,4;;
311550 CAXAMBU;11,3;;
311560 CEDRO DO ABAETE;23,7;;
311570 CENTRAL DE MINAS;34,3;;
311580 CENTRALINA;23,1;;
311590 CHACARA;25,2;;
311600 CHALE;25,8;;
311610 CHAPADA DO NORTE;53;;
311620 CHIADOR;18,3;;
311630 CIPOTANEA;24,2;;
311640 CLARAVAL;18,1;;
311650 CLARO DOS POCOES;30,2;;
311660 CLAUDIO;13,1;;
311670 COIMBRA;21,2;;
311680 COLUNA;37,8;;
311690 COMENDADOR GOMES;14;;
311700 COMERCINHO;41,2;;
311710 CONCEICAO DA APARECIDA;15,1;;
311720 CONCEICAO DAS PEDRAS;21,7;;
311730 CONCEICAO DAS ALAGOAS;18;;
311740 CONCEICAO DE IPANEMA;31,5;;
311750 CONCEICAO DO MATO DENTRO;33,7;;
311760 CONCEICAO DO PARA;17,7;;
311770 CONCEICAO DO RIO VERDE;22,8;;
311780 CONCEICAO DOS OUROS;18,7;;
311790 CONGONHAL;20,7;;
311800 CONGONHAS;9,8;;
311810 CONGONHAS DO NORTE;35,8;;
311820 CONQUISTA;15,6;;
311830 CONSELHEIRO LAFAIETE;7,6;;
311840 CONSELHEIRO PENA;30,6;;
311850 CONSOLACAO;20,1;;
311860 CONTAGEM;8,3;;
311870 COQUEIRAL;16,7;;
311880 CORACAO DE JESUS;30;;
311890 CORDISBURGO;20,1;;
311900 CORDISLANDIA;22,8;;
311910 CORINTO;22;;
311920 COROACI;26,9;;
311930 COROMANDEL;14,6;;
311940 CORONEL FABRICIANO;12,9;;
311950 CORONEL MURTA;30,8;;
311960 CORONEL PACHECO;17,6;;
311970 CORONEL XAVIER CHAVES;14,3;;
311980 CORREGO DANTA;17,7;;
311990 CORREGO DO BOM JESUS;20,8;;
312000 CORREGO NOVO;29,3;;
312010 COUTO DE MAGALHAES DE MINAS;31;;
312020 CRISTAIS;19,5;;
312030 CRISTALIA;47,6;;
312040 CRISTIANO OTONI;13,1;;
312050 CRISTINA;18,7;;
312060 CRUCILANDIA;25,8;;
312070 CRUZEIRO DA FORTALEZA;18,8;;
312080 CRUZILIA;17,9;;
312090 CURVELO;16,1;;
312100 DATAS;19,6;;
312110 DELFIM MOREIRA;22,2;;
312120 DELFINOPOLIS;26;;
312130 DESCOBERTO;21,4;;
312140 DESTERRO DE ENTRE RIOS;28,3;;
312150 DESTERRO DO MELO;22,5;;
312160 DIAMANTINA;19,6;;
312170 DIOGO DE VASCONCELOS;34,3;;
312180 DIONISIO;23,5;;
312190 DIVINESIA;22,3;;
312200 DIVINO;25,2;;
312210 DIVINO DAS LARANJEIRAS;30,1;;
312220 DIVINOLANDIA DE MINAS;30,5;;
312230 DIVINOPOLIS;8,9;;
312240 DIVISA NOVA;21,4;;
312250 DOM CAVATI;20,1;;
312260 DOM JOAQUIM;34,9;;
312270 DOM SILVERIO;20;;
312280 DOM VICOSO;22;;
312290 DONA EUSEBIA;16,1;;
312300 DORES DE CAMPOS;14,2;;
312310 DORES DE GUANHAES;35,9;;
312320 DORES DO INDAIA;20,2;;
312330 DORES DO TURVO;27,4;;
312340 DORESOPOLIS;12;;
312350 DOURADOQUARA;22,6;;
312360 ELOI MENDES;17,9;;
312370 ENGENHEIRO CALDAS;29;;
312380 ENGENHEIRO NAVARRO;32,9;;
312390 ENTRE RIOS DE MINAS;17,6;;
312400 ERVALIA;28,2;;
312410 ESMERALDAS;16,4;;
312420 ESPERA FELIZ;27;;
312430 ESPINOSA;41,8;;
312440 ESPIRITO SANTO DO DOURADO;21,8;;
312450 ESTIVA;18,6;;
312460 ESTRELA DALVA;35,7;;
312470 ESTRELA DO INDAIA;23,2;;
312480 ESTRELA DO SUL;17,9;;
312490 EUGENOPOLIS;25,7;;
312500 EWBANK DA CAMARA;21,2;;
312510 EXTREMA;17,7;;
312520 FAMA;11,3;;
312530 FARIA LEMOS;29,4;;
312540 FELICIO DOS SANTOS;33,5;;
312550 SAO GONCALO DO RIO PRETO;30,5;;
312560 FELISBURGO;43,6;;
312570 FELIXLANDIA;23,4;;
312580 FERNANDES TOURINHO;32,6;;
312590 FERROS;32;;
312600 FLORESTAL;18,2;;
312610 FORMIGA;14,1;;
312620 FORMOSO;40,7;;
312630 FORTALEZA DE MINAS;17,8;;
312640 FORTUNA DE MINAS;17,1;;
312650 FRANCISCO BADARO;44,1;;
312660 FRANCISCO DUMONT;35,2;;
312670 FRANCISCO SA;36,4;;
312680 FREI GASPAR;49,8;;
312690 FREI INOCENCIO;29,2;;
312700 FRONTEIRA;16,4;;
312705 FRONTEIRA DOS VALES;50;;
312710 FRUTAL;14,8;;
312720 FUNILANDIA;21,7;;
312730 GALILEIA;32,5;;
312740 GONCALVES;24,3;;
312750 GONZAGA;33,6;;
312760 GOUVEIA;11,7;;
312770 GOVERNADOR VALADARES;15,3;;
312780 GRAO MOGOL;46,3;;
312790 GRUPIARA;14,8;;
312800 GUANHAES;25,1;;
312810 GUAPE;16,8;;
312820 GUARACIABA;31,2;;
312830 GUARANESIA;18,7;;
312840 GUARANI;20,9;;
312850 GUARARA;17,2;;
312860 GUARDA-MOR;17,4;;
312870 GUAXUPE;13,4;;
312880 GUIDOVAL;24;;
312890 GUIMARANIA;11,3;;
312900 GUIRICEMA;21,2;;
312910 GURINHATA;20,4;;
312920 HELIODORA;24;;
312930 IAPU;27;;
312940 IBERTIOGA;29,4;;
312950 IBIA;15,1;;
312960 IBIAI;30,2;;
312970 IBIRACI;22,9;;
312980 IBIRITE;15;;
312990 IBITIURA DE MINAS;18,1;;
313000 IBITURUNA;22,2;;
313010 IGARAPE;16,2;;
313020 IGARATINGA;15,1;;
313030 IGUATAMA;11,6;;
313040 IJACI;14,2;;
313050 ILICINEA;19;;
313060 INCONFIDENTES;20,8;;
313070 INDIANOPOLIS;21,1;;
313080 INGAI;14,4;;
313090 INHAPIM;25,8;;
313100 INHAUMA;17,1;;
313110 INIMUTABA;23,2;;
313120 IPANEMA;28,1;;
313130 IPATINGA;10,6;;
313140 IPIACU;21,9;;
313150 IPUIUNA;22,5;;
313160 IRAI DE MINAS;12,3;;
313170 ITABIRA;13,4;;
313180 ITABIRINHA;33,3;;
313190 ITABIRITO;9,9;;
313200 ITACAMBIRA;22,4;;
313210 ITACARAMBI;45,7;;
313220 ITAGUARA;15,6;;
313230 ITAIPE;52,9;;
313240 ITAJUBA;9,4;;
313250 ITAMARANDIBA;40,5;;
313260 ITAMARATI DE MINAS;22,8;;
313270 ITAMBACURI;37,9;;
313280 ITAMBE DO MATO DENTRO;40,3;;
313290 ITAMOGI;18,8;;
313300 ITAMONTE;14,3;;
313310 ITANHANDU;11;;
313320 ITANHOMI;31,8;;
313330 ITAOBIM;38,3;;
313340 ITAPAGIPE;14,5;;
313350 ITAPECERICA;17,5;;
313360 ITAPEVA;18,4;;
313370 ITATIAIUCU;21,8;;
313375 ITAU DE MINAS;12;;
313380 ITAUNA;9,9;;
313390 ITAVERAVA;23,5;;
313400 ITINGA;46,6;;
313410 ITUETA;20,9;;
313420 ITUIUTABA;13,3;;
313430 ITUMIRIM;16,4;;
313440 ITURAMA;21,5;;
313450 ITUTINGA;10,9;;
313460 JABOTICATUBAS;26,6;;
313470 JACINTO;44,3;;
313480 JACUI;18,8;;
313490 JACUTINGA;20,4;;
313500 JAGUARACU;21,9;;
313510 JANAUBA;27,2;;
313520 JANUARIA;34,3;;
313530 JAPARAIBA;11,4;;
313540 JECEABA;20,6;;
313550 JEQUERI;32;;
313560 JEQUITAI;33,5;;
313570 JEQUITIBA;28;;
313580 JEQUITINHONHA;44,3;;
313590 JESUANIA;23,8;;
313600 JOAIMA;50,4;;
313610 JOANESIA;30,9;;
313620 JOAO MONLEVADE;8,5;;
313630 JOAO PINHEIRO;21,9;;
313640 JOAQUIM FELICIO;38,2;;
313650 JORDANIA;41,3;;
313660 NOVA UNIAO;24,4;;
313670 JUIZ DE FORA;6,8;;
313680 JURAMENTO;26,9;;
313690 JURUAIA;14,9;;
313700 LADAINHA;54,3;;
313710 LAGAMAR;18,4;;
313720 LAGOA DA PRATA;12,7;;
313730 LAGOA DOS PATOS;35,4;;
313740 LAGOA DOURADA;12,2;;
313750 LAGOA FORMOSA;15,9;;
313760 LAGOA SANTA;11,8;;
313770 LAJINHA;30,8;;
313780 LAMBARI;15;;
313790 LAMIM;24;;
313800 LARANJAL;21;;
313810 LASSANCE;26,4;;
313820 LAVRAS;8,4;;
313830 LEANDRO FERREIRA;21,6;;
313840 LEOPOLDINA;16;;
313850 LIBERDADE;28,7;;
313860 LIMA DUARTE;21,7;;
313870 LUMINARIAS;17,7;;
313880 LUZ;15,8;;
313890 MACHACALIS;37,6;;
313900 MACHADO;15;;
313910 MADRE DE DEUS DE MINAS;16,6;;
313920 MALACACHETA;51,6;;
313930 MANGA;44,7;;
313940 MANHUACU;20,5;;
313950 MANHUMIRIM;23,2;;
