;;;
Informações de Saúde;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;
Ajuda;;;
Notas Técnicas;;;
DATASUS;;;
Taxa de analfabetismo - Brasil;;;
Taxa de analfabetismo segundo Município;;;
Período: 1991;;;
Município;Taxa de analfabetismo;;
Fonte: IBGE - Censos Demográficos;;;
Consulte o sítio da Secretaria Estadual de Saúde e do IBGE para mais informações.;;;
;;;
210210 BREJO;58,6;;
210220 BURITI;58,3;;
210230 BURITI BRAVO;50,8;;
210240 CAJAPIO;62,3;;
210250 CAJARI;47,4;;
210260 CANDIDO MENDES;44;;
210270 CANTANHEDE;61,6;;
210280 CAROLINA;32;;
210290 CARUTAPERA;49,1;;
210300 CAXIAS;48,8;;
210310 CEDRAL;29,7;;
210320 CHAPADINHA;48;;
210330 CODO;55,5;;
210340 COELHO NETO;46,8;;
210350 COLINAS;50,4;;
210360 COROATA;59,5;;
210370 CURURUPU;36,8;;
210380 DOM PEDRO;40,6;;
210390 DUQUE BACELAR;55,7;;
210400 ESPERANTINOPOLIS;56,5;;
210405 ESTREITO;34,2;;
210410 FORTALEZA DOS NOGUEIRAS;36,3;;
210420 FORTUNA;45,1;;
210430 GODOFREDO VIANA;48,1;;
210440 GONCALVES DIAS;56,5;;
210450 GOVERNADOR ARCHER;56;;
210460 GOVERNADOR EUGENIO BARROS;61,3;;
210470 GRACA ARANHA;48,6;;
210480 GRAJAU;48,5;;
210490 GUIMARAES;23;;
210500 HUMBERTO DE CAMPOS;48,6;;
210510 ICATU;54,5;;
210520 IGARAPE GRANDE;46,4;;
210530 IMPERATRIZ;28,2;;
210540 ITAPECURU MIRIM;51;;
210550 JOAO LISBOA;51,9;;
210560 JOSELANDIA;53;;
210570 LAGO DA PEDRA;58,5;;
210580 LAGO DO JUNCO;52,6;;
210590 LAGO VERDE;56,9;;
210600 LIMA CAMPOS;52;;
210610 LORETO;33,3;;
210620 LUIS DOMINGUES;37,7;;
210630 MAGALHAES DE ALMEIDA;49,9;;
210640 MATA ROMA;51;;
210650 MATINHA;38,8;;
210660 MATOES;59,2;;
210670 MIRADOR;50,7;;
210675 MIRANDA DO NORTE;42,4;;
210680 MIRINZAL;40,3;;
210690 MONCAO;50,5;;
210700 MONTES ALTOS;46,2;;
210710 MORROS;53,1;;
210720 NINA RODRIGUES;56,3;;
210730 NOVA IORQUE;44,5;;
210740 OLHO D'AGUA DAS CUNHAS;56;;
210750 PACO DO LUMIAR;16,1;;
210760 PALMEIRANDIA;50,8;;
210770 PARAIBANO;49,3;;
210780 PARNARAMA;62,2;;
210790 PASSAGEM FRANCA;54;;
210800 PASTOS BONS;38,8;;
210810 PAULO RAMOS;60,3;;
210820 PEDREIRAS;38,2;;
210830 PENALVA;46,6;;
210840 PERI MIRIM;37,8;;
210850 PINDARE-MIRIM;40,9;;
210860 PINHEIRO;36,9;;
210870 PIO XII;57,3;;
210880 PIRAPEMAS;55,6;;
210890 POCAO DE PEDRAS;49,6;;
210900 PORTO FRANCO;40,3;;
210910 PRESIDENTE DUTRA;45;;
210920 PRESIDENTE JUSCELINO;57,2;;
210930 PRESIDENTE VARGAS;58,8;;
210940 PRIMEIRA CRUZ;44,9;;
210950 RIACHAO;40,4;;
210960 ROSARIO;38,9;;
210970 SAMBAIBA;44,3;;
210980 SANTA HELENA;44,9;;
210990 SANTA INES;33,7;;
211000 SANTA LUZIA;58,5;;
211003 SANTA LUZIA DO PARUA;46,4;;
211010 SANTA QUITERIA DO MARANHAO;57,8;;
211020 SANTA RITA;47,7;;
211030 SANTO ANTONIO DOS LOPES;52,9;;
211040 SAO BENEDITO DO RIO PRETO;49,2;;
211050 SAO BENTO;40,4;;
211060 SAO BERNARDO;58,8;;
211070 SAO DOMINGOS DO MARANHAO;53,6;;
211080 SAO FELIX DE BALSAS;32,7;;
211090 SAO FRANCISCO DO MARANHAO;56,6;;
211100 SAO JOAO BATISTA;47,8;;
211110 SAO JOAO DOS PATOS;42,9;;
211120 SAO JOSE DE RIBAMAR;19,9;;
211130 SAO LUIS;10,5;;
211140 SAO LUIS GONZAGA DO MARANHAO;59,8;;
211150 SAO MATEUS DO MARANHAO;51,5;;
211160 SAO RAIMUNDO DAS MANGABEIRAS;37,5;;
211170 SAO VICENTE FERRER;53,7;;
211180 SITIO NOVO;36,8;;
211190 SUCUPIRA DO NORTE;39,7;;
211200 TASSO FRAGOSO;39,9;;
211210 TIMBIRAS;63,1;;
211220 TIMON;35,9;;
211230 TUNTUM;52,3;;
211240 TURIACU;51,9;;
211250 TUTOIA;56,7;;
211260 URBANO SANTOS;59,3;;
211270 VARGEM GRANDE;56,5;;
211280 VIANA;35,9;;
211290 VITORIA DO MEARIM;56,2;;
211300 VITORINO FREIRE;49,2;;
211400 ZE DOCA;47,7;;
220010 AGRICOLANDIA;42,5;;
220020 AGUA BRANCA;42,5;;
220025 ALAGOINHA DO PIAUI;65;;
220030 ALTO LONGA;55,5;;
220040 ALTOS;49,8;;
220050 AMARANTE;41,8;;
220060 ANGICAL DO PIAUI;34,8;;
220070 ANISIO DE ABREU;52,8;;
220080 ANTONIO ALMEIDA;43,9;;
220090 AROAZES;54,7;;
220100 ARRAIAL;54,3;;
220110 AVELINO LOPES;42,1;;
220120 BARRAS;58,8;;
220130 BARREIRAS DO PIAUI;33,6;;
220140 BARRO DURO;51,7;;
220150 BATALHA;57,7;;
220160 BENEDITINOS;57;;
220170 BERTOLINIA;35,9;;
220180 BOCAINA;40,1;;
220190 BOM JESUS;44,5;;
220200 BURITI DOS LOPES;57,6;;
220210 CAMPINAS DO PIAUI;41,5;;
220220 CAMPO MAIOR;40,7;;
220230 CANTO DO BURITI;47,4;;
220240 CAPITAO DE CAMPOS;50,6;;
220250 CARACOL;64,7;;
220260 CASTELO DO PIAUI;50;;
220270 COCAL;61,5;;
220280 CONCEICAO DO CANINDE;53,8;;
220290 CORRENTE;37,5;;
220300 CRISTALANDIA DO PIAUI;40,8;;
220310 CRISTINO CASTRO;46,7;;
220320 CURIMATA;31,9;;
220330 DEMERVAL LOBAO;47;;
220335 DIRCEU ARCOVERDE;49,5;;
220340 DOM EXPEDITO LOPES;39,9;;
220342 DOMINGOS MOURAO;57,5;;
220345 DOM INOCENCIO;42,3;;
220350 ELESBAO VELOSO;52,9;;
220360 ELISEU MARTINS;37,8;;
220370 ESPERANTINA;47,2;;
220380 FLORES DO PIAUI;53;;
220390 FLORIANO;26;;
220400 FRANCINOPOLIS;49,2;;
220410 FRANCISCO AYRES;47,9;;
220420 FRANCISCO SANTOS;48,5;;
220430 FRONTEIRAS;57,6;;
220440 GILBUES;36,1;;
220450 GUADALUPE;29,3;;
220460 HUGO NAPOLEAO;50;;
220470 INHUMA;45,6;;
220480 IPIRANGA DO PIAUI;37,2;;
220490 ISAIAS COELHO;53,1;;
220500 ITAINOPOLIS;53,7;;
220510 ITAUEIRA;39,6;;
220520 JAICOS;66,5;;
220530 JERUMENHA;38,1;;
220540 JOAQUIM PIRES;60,9;;
220550 JOSE DE FREITAS;44,5;;
220560 LANDRI SALES;35,5;;
220570 LUIS CORREIA;54,7;;
220580 LUZILANDIA;57,2;;
220590 MANOEL EMIDIO;43,1;;
220600 MARCOS PARENTE;39,6;;
220610 MATIAS OLIMPIO;54,7;;
220620 MIGUEL ALVES;59,7;;
220630 MIGUEL LEAO;55,6;;
220640 MONSENHOR GIL;43,2;;
220650 MONSENHOR HIPOLITO;47,7;;
220660 MONTE ALEGRE DO PIAUI;42,3;;
220670 NAZARE DO PIAUI;49,7;;
220680 NOSSA SENHORA DOS REMEDIOS;60,4;;
220690 NOVO ORIENTE DO PIAUI;53,1;;
220700 OEIRAS;49,3;;
220720 PADRE MARCOS;57,8;;
220730 PAES LANDIM;45,8;;
220740 PALMEIRA DO PIAUI;47,4;;
220750 PALMEIRAIS;57,1;;
220760 PARNAGUA;39,6;;
220770 PARNAIBA;31;;
220780 PAULISTANA;54,3;;
220790 PEDRO II;52,6;;
220800 PICOS;38,4;;
220810 PIMENTEIRAS;57,5;;
220820 PIO IX;57,9;;
220830 PIRACURUCA;54,6;;
220840 PIRIPIRI;43;;
220850 PORTO;59,4;;
220860 PRATA DO PIAUI;49,6;;
220870 REDENCAO DO GURGUEIA;40,4;;
220880 REGENERACAO;52,4;;
220890 RIBEIRO GONCALVES;44,5;;
220900 RIO GRANDE DO PIAUI;52,2;;
220910 SANTA CRUZ DO PIAUI;51;;
220920 SANTA FILOMENA;46,9;;
220930 SANTA LUZ;46,3;;
220940 SANTO ANTONIO DE LISBOA;43,8;;
220950 SANTO INACIO DO PIAUI;54,5;;
220960 SAO FELIX DO PIAUI;55,6;;
220970 SAO FRANCISCO DO PIAUI;55,2;;
220980 SAO GONCALO DO PIAUI;48,5;;
220985 SAO JOAO DA CANABRAVA;50,3;;
220990 SAO JOAO DA SERRA;56,5;;
221000 SAO JOAO DO PIAUI;49,5;;
221010 SAO JOSE DO PEIXE;52,4;;
221020 SAO JOSE DO PIAUI;52,7;;
221030 SAO JULIAO;60,6;;
221040 SAO MIGUEL DO TAPUIO;58,6;;
221050 SAO PEDRO DO PIAUI;45,7;;
221060 SAO RAIMUNDO NONATO;42;;
221070 SIMOES;72,7;;
221080 SIMPLICIO MENDES;38,6;;
221090 SOCORRO DO PIAUI;44,8;;
221100 TERESINA;19,2;;
221110 UNIAO;46,3;;
221120 URUCUI;41,3;;
221130 VALENCA DO PIAUI;41,8;;
221140 VARZEA GRANDE;53,1;;
230010 ABAIARA;53,8;;
230015 ACARAPE;41,4;;
230020 ACARAU;51,2;;
230030 ACOPIARA;52;;
230040 AIUABA;56,5;;
230050 ALCANTARAS;49,3;;
230060 ALTANEIRA;55,7;;
230070 ALTO SANTO;50,2;;
230075 AMONTADA;50,2;;
230080 ANTONINA DO NORTE;50,3;;
230090 APUIARES;45,1;;
230100 AQUIRAZ;44,8;;
230110 ARACATI;42,2;;
230120 ARACOIABA;54,2;;
230130 ARARIPE;59,1;;
230140 ARATUBA;44;;
230150 ARNEIROZ;55,2;;
230160 ASSARE;51,2;;
230170 AURORA;44,3;;
230180 BAIXIO;46,4;;
230185 BANABUIU;54,7;;
230190 BARBALHA;36,9;;
230195 BARREIRA;46,5;;
230200 BARRO;45,5;;
230205 BARROQUINHA;62;;
230210 BATURITE;37,6;;
230220 BEBERIBE;49,5;;
230230 BELA CRUZ;48,1;;
230240 BOA VIAGEM;50,2;;
230250 BREJO SANTO;45,3;;
230260 CAMOCIM;47;;
230270 CAMPOS SALES;47,5;;
230280 CANINDE;45,9;;
230290 CAPISTRANO;52;;
230300 CARIDADE;51,5;;
230310 CARIRE;51,8;;
230320 CARIRIACU;53,1;;
230330 CARIUS;56;;
230340 CARNAUBAL;53,7;;
230350 CASCAVEL;44,3;;
230360 CATARINA;52,9;;
230370 CAUCAIA;26,1;;
230380 CEDRO;44,3;;
230390 CHAVAL;54,7;;
230395 CHOROZINHO;53,8;;
230400 COREAU;57,3;;
230410 CRATEUS;41,3;;
230420 CRATO;32,1;;
230423 CROATA;53,4;;
230425 CRUZ;51,8;;
230426 DEPUTADO IRAPUAN PINHEIRO;52;;
230427 ERERE;52,4;;
230428 EUSEBIO;35,2;;
230430 FARIAS BRITO;53,8;;
230435 FORQUILHA;50,2;;
230440 FORTALEZA;15,8;;
230450 FRECHEIRINHA;53,1;;
230460 GENERAL SAMPAIO;66,2;;
230465 GRACA;64,2;;
230470 GRANJA;62;;
230480 GRANJEIRO;59,4;;
230490 GROAIRAS;46,8;;
230495 GUAIUBA;44;;
230500 GUARACIABA DO NORTE;52,6;;
230510 GUARAMIRANGA;44,6;;
230520 HIDROLANDIA;46,5;;
230523 HORIZONTE;44,1;;
230526 IBARETAMA;55,4;;
230530 IBIAPINA;48,6;;
230533 IBICUITINGA;49;;
230535 ICAPUI;45,5;;
230540 ICO;51,6;;
