;;;
Informações de Saúde;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;
Ajuda;;;
Notas Técnicas;;;
DATASUS;;;
Proporção de pessoas com baixa renda - Brasil;;;
% população com renda < 1/2 SM segundo Município;;;
Período: 2010;;;
Município;% população com renda < 1/2 SM;;
Fonte: IBGE - Censos Demográficos;;;
Notas:;;;
;;;
1. O salário mínimo do último ano para o qual a série está sendo calculada torna-se a referência para toda a série. Esse valor é corrigido para todos com base no INPC de julho de 2010, alterando o valor da linha de pobreza e consequentemente a proporção de pobres. Nesta tabela, o valor de referência, salário mínimo de 2010, é de R$ 510,00.;;;
;;;
Consulte o sítio da Secretaria Estadual de Saúde e do IBGE para mais informações.;;;
;;;
150275 CONCORDIA DO PARA;69,63;;
150276 CUMARU DO NORTE;57,36;;
150277 CURIONOPOLIS;62,93;;
150280 CURRALINHO;79,63;;
150285 CURUA;84,05;;
150290 CURUCA;75,73;;
150293 DOM ELISEU;62,17;;
150295 ELDORADO DOS CARAJAS;68,57;;
150300 FARO;79,58;;
150304 FLORESTA DO ARAGUAIA;69,85;;
150307 GARRAFAO DO NORTE;75,18;;
150309 GOIANESIA DO PARA;65,22;;
150310 GURUPA;76,49;;
150320 IGARAPE-ACU;70,33;;
150330 IGARAPE-MIRI;78,48;;
150340 INHANGAPI;71,35;;
150345 IPIXUNA DO PARA;80,77;;
150350 IRITUIA;76,51;;
150360 ITAITUBA;51,99;;
150370 ITUPIRANGA;76,36;;
150375 JACAREACANGA;68,7;;
150380 JACUNDA;60,69;;
150390 JURUTI;74,66;;
150400 LIMOEIRO DO AJURU;80,88;;
150405 MAE DO RIO;63,11;;
150410 MAGALHAES BARATA;75,01;;
150420 MARABA;48,36;;
150430 MARACANA;77,68;;
150440 MARAPANIM;67,44;;
150442 MARITUBA;47,25;;
150445 MEDICILANDIA;64,19;;
150450 MELGACO;89,38;;
150460 MOCAJUBA;79,67;;
150470 MOJU;72,92;;
150480 MONTE ALEGRE;74,31;;
150490 MUANA;76,24;;
150495 NOVA ESPERANCA DO PIRIA;84,81;;
150497 NOVA IPIXUNA;68,77;;
150500 NOVA TIMBOTEUA;65,49;;
150503 NOVO PROGRESSO;34,07;;
150506 NOVO REPARTIMENTO;71,97;;
150510 OBIDOS;74,82;;
150520 OEIRAS DO PARA;80,3;;
150530 ORIXIMINA;68,71;;
150540 OUREM;73,29;;
150543 OURILANDIA DO NORTE;51,67;;
150548 PACAJA;76,33;;
150549 PALESTINA DO PARA;68,17;;
150550 PARAGOMINAS;53,62;;
150553 PARAUAPEBAS;37,14;;
150555 PAU D'ARCO;63,41;;
150560 PEIXE-BOI;72,83;;
150563 PICARRA;65,81;;
150565 PLACAS;76,85;;
150570 PONTA DE PEDRAS;72,78;;
150580 PORTEL;81,29;;
150590 PORTO DE MOZ;79,76;;
150600 PRAINHA;83;;
150610 PRIMAVERA;73,07;;
150611 QUATIPURU;77,43;;
150613 REDENCAO;42,34;;
150616 RIO MARIA;46,94;;
150618 RONDON DO PARA;63,49;;
150619 RUROPOLIS;74,2;;
150620 SALINOPOLIS;54,38;;
150630 SALVATERRA;68,62;;
150635 SANTA BARBARA DO PARA;67,5;;
150640 SANTA CRUZ DO ARARI;87,67;;
150650 SANTA IZABEL DO PARA;55,35;;
150655 SANTA LUZIA DO PARA;77,91;;
150658 SANTA MARIA DAS BARREIRAS;69,84;;
150660 SANTA MARIA DO PARA;64,44;;
150670 SANTANA DO ARAGUAIA;57,56;;
150680 SANTAREM;56,5;;
150690 SANTAREM NOVO;80,59;;
