;;;;;;;;;
Informações de Saúde;;;;;;;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;;;;;;;
Ajuda;;;;;;;;;
Notas Técnicas;;;;;;;;;
DATASUS;;;;;;;;;
Instalações sanitárias - Brasil;;;;;;;;;
Moradores por Instalações sanitárias segundo Município;;;;;;;;;
Período: 1991;;;;;;;;;
Município;Rede geral de esgoto ou pluvial;Fossa séptica;Fossa rudimendar;Vala;Outro escoadouro;Não sabe o tipo de escoadouro;Não tem instalação sanitária;Total;
Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010;;;;;;;;;
Consulte o site da Secretaria Estadual de Saúde para mais informações.;;;;;;;;;
;;;;;;;;;
313140 IPIACU;3.142;96;744;7;-;-;106;4.095;
313150 IPUIUNA;4.870;12;305;96;1.754;5;693;7.735;
313160 IRAI DE MINAS;2.043;2;1.401;42;-;2;848;4.338;
313170 ITABIRA;58.387;3.011;8.950;1.927;9.676;68;3.245;85.264;
313180 ITABIRINHA;3.422;912;650;1.555;606;8;2.938;10.091;
313190 ITABIRITO;24.157;95;2.165;125;4.530;-;854;31.926;
313200 ITACAMBIRA;-;6;1.238;1;-;31;5.451;6.727;
313210 ITACARAMBI;-;-;12.680;-;-;-;8.848;21.528;
313220 ITAGUARA;3.526;5;3.299;69;1.188;5;2.523;10.615;
313230 ITAIPE;1.757;-;4.084;618;637;30;8.544;15.670;
313240 ITAJUBA;61.104;374;2.982;2.919;4.615;12;2.374;74.380;
313250 ITAMARANDIBA;4.741;224;14.721;1.465;421;27;10.835;32.434;
313260 ITAMARATI DE MINAS;1.959;120;183;87;723;-;365;3.437;
313270 ITAMBACURI;5.824;21;7.484;438;559;1;6.654;20.981;
313280 ITAMBE DO MATO DENTRO;365;19;1.174;62;326;-;765;2.711;
313290 ITAMOGI;4.995;10;3.692;22;97;9;386;9.211;
313300 ITAMONTE;4.954;97;2.198;624;638;-;1.498;10.009;
313310 ITANHANDU;8.534;2;736;112;1.547;-;309;11.240;
313320 ITANHOMI;2.099;23;2.571;2.195;5.262;9;4.798;16.957;
313330 ITAOBIM;-;24;13.396;333;71;-;6.404;20.228;
313340 ITAPAGIPE;4.420;46;3.995;87;1.266;11;1.293;11.118;
313350 ITAPECERICA;10.285;50;6.400;231;2.175;32;3.051;22.224;
313360 ITAPEVA;2.438;112;1.764;34;333;9;823;5.513;
313370 ITATIAIUCU;2.532;90;4.049;10;16;1;651;7.349;
313375 ITAU DE MINAS;9.874;23;631;25;232;7;114;10.906;
313380 ITAUNA;55.274;82;8.641;73;441;8;1.530;66.049;
313390 ITAVERAVA;241;-;1.300;40;2.141;9;2.601;6.332;
313400 ITINGA;1.182;89;6.066;90;173;9;14.932;22.541;
313410 ITUETA;776;16;1.808;773;1.292;6;1.722;6.393;
313420 ITUIUTABA;58.483;636;21.267;244;456;50;3.098;84.234;
313430 ITUMIRIM;2.112;394;2.447;344;49;9;761;6.116;
313440 ITURAMA;15.063;66;23.406;95;253;9;6.266;45.158;
313450 ITUTINGA;209;6;2.950;6;187;7;929;4.294;
313460 JABOTICATUBAS;527;94;8.812;13;586;14;2.613;12.659;
313470 JACINTO;-;106;5.638;290;76;4;6.032;12.146;
313480 JACUI;1.413;2.689;1.163;18;105;6;1.145;6.539;
313490 JACUTINGA;9.613;416;6.743;133;134;2;213;17.254;
313500 JAGUARACU;620;5;442;146;1.173;-;352;2.738;
313510 JANAUBA;-;24;45.298;45;-;-;7.411;52.778;
313520 JANUARIA;-;78;40.161;148;39;32;45.882;86.340;
313530 JAPARAIBA;1.271;6;1.717;2;7;-;308;3.311;
313540 JECEABA;2.142;871;1.064;118;826;-;1.631;6.652;
313550 JEQUERI;2.942;1;2.071;819;1.872;18;7.403;15.126;
313560 JEQUITAI;-;52;4.901;4;92;2;4.218;9.269;
313570 JEQUITIBA;-;8;3.010;170;11;1;1.835;5.035;
313580 JEQUITINHONHA;2.699;56;11.911;502;63;37;7.354;22.622;
313590 JESUANIA;2.069;8;1.226;408;23;-;598;4.332;
313600 JOAIMA;88;46;7.293;323;3.558;7;6.956;18.271;
313610 JOANESIA;1.053;3;1.890;2.398;583;4;1.002;6.933;
313620 JOAO MONLEVADE;51.622;1.890;2.871;570;1.600;18;585;59.156;
313630 JOAO PINHEIRO;16.401;78;20.782;219;452;62;10.540;48.534;
313640 JOAQUIM FELICIO;-;7;2.823;53;2;-;1.534;4.419;
313650 JORDANIA;3.945;561;1.152;272;233;19;3.251;9.433;
313660 NOVA UNIAO;1.815;851;972;152;24;8;1.029;4.851;
313670 JUIZ DE FORA;341.567;12.945;6.559;2.476;13.209;246;4.995;381.997;
313680 JURAMENTO;156;16;4.464;40;7;12;1.665;6.360;
313690 JURUAIA;2.320;393;2.930;150;222;-;518;6.533;
313700 LADAINHA;215;183;6.906;69;78;6;9.109;16.566;
313710 LAGAMAR;2.915;15;3.177;201;146;-;1.612;8.066;
313720 LAGOA DA PRATA;21.659;89;7.786;18;43;7;1.131;30.733;
313730 LAGOA DOS PATOS;-;10;2.224;-;-;-;1.845;4.079;
313740 LAGOA DOURADA;3.414;349;4.025;32;389;-;1.888;10.097;
313750 LAGOA FORMOSA;5.161;21;7.912;147;21;-;2.628;15.890;
313760 LAGOA SANTA;1.835;12.469;13.987;157;56;2;1.057;29.563;
313770 LAJINHA;3.945;316;493;1.088;6.988;52;4.285;17.167;
313780 LAMBARI;8.824;217;3.898;153;1.913;4;962;15.971;
313790 LAMIM;569;-;1.388;5;807;39;751;3.559;
313800 LARANJAL;3.323;40;51;1.842;303;-;378;5.937;
313810 LASSANCE;-;14;2.803;236;4;3;3.486;6.546;
313820 LAVRAS;52.435;1.936;6.159;468;2.056;87;2.358;65.499;
313830 LEANDRO FERREIRA;1.146;-;1.006;-;41;-;703;2.896;
313840 LEOPOLDINA;33.325;3.830;1.805;1.549;3.331;112;2.041;45.993;
313850 LIBERDADE;2.653;457;1.910;384;61;3;534;6.002;
313860 LIMA DUARTE;5.722;436;621;955;4.577;-;2.230;14.541;
313870 LUMINARIAS;2.372;741;982;184;22;10;847;5.158;
313880 LUZ;9.660;36;5.272;206;58;18;1.048;16.298;
313890 MACHACALIS;2.489;192;2.461;17;1;-;1.701;6.861;
313900 MACHADO;18.866;23;7.698;43;2.676;27;1.157;30.490;
313910 MADRE DE DEUS DE MINAS;2.112;259;227;700;64;6;601;3.969;
313920 MALACACHETA;3.945;54;14.795;756;838;9;14.706;35.103;
313930 MANGA;-;39;26.313;100;-;-;23.621;50.073;
313940 MANHUACU;32.646;1.592;5.122;948;24.003;376;10.015;74.702;
313950 MANHUMIRIM;11.787;314;1.485;642;10.124;76;2.678;27.106;
313960 MANTENA;12.519;262;4.384;1.778;6.790;145;12.050;37.928;
313970 MARAVILHAS;2.160;-;2.266;-;-;4;960;5.390;
313980 MAR DE ESPANHA;6.643;603;509;55;1.515;2;267;9.594;
313990 MARIA DA FE;5.870;17;634;105;5.654;-;1.159;13.439;
314000 MARIANA;20.448;1.457;1.668;566;9.742;47;4.051;37.979;
314010 MARILAC;376;22;2.981;95;113;7;810;4.404;
314020 MARIPA DE MINAS;699;43;31;32;1.406;3;66;2.280;
314030 MARLIERIA;1.454;123;423;641;446;-;447;3.534;
314040 MARMELOPOLIS;865;-;57;42;1.497;-;451;2.912;
314050 MARTINHO CAMPOS;-;25;10.597;30;25;-;1.115;11.792;
314060 MATERLANDIA;616;-;1.617;755;5;-;1.621;4.614;
314070 MATEUS LEME;11.825;511;11.984;72;141;47;2.260;26.840;
314080 MATIAS BARBOSA;6.524;630;303;2.367;804;44;173;10.845;
314090 MATIPO;6.118;214;1.472;98;3.918;24;2.484;14.328;
314100 MATO VERDE;-;3;15.845;76;-;-;4.004;19.928;
314110 MATOZINHOS;5.861;60;16.333;30;156;12;1.062;23.514;
314120 MATUTINA;1.982;35;1.142;13;14;-;564;3.750;
314130 MEDEIROS;-;5;1.570;35;17;6;1.090;2.723;
314140 MEDINA;7.145;273;6.293;365;241;49;7.344;21.710;
314150 MENDES PIMENTEL;1.730;95;3.228;944;2.176;5;2.816;10.994;
314160 MERCES;3.546;-;2.136;12;3.250;37;1.055;10.036;
314170 MESQUITA;4.943;21;8.551;1.855;2.703;9;1.790;19.872;
314180 MINAS NOVAS;2.300;515;11.999;188;331;8;18.181;33.522;
314190 MINDURI;2.797;11;685;-;290;-;69;3.852;
314200 MIRABELA;-;4;8.800;-;-;11;7.926;16.741;
314210 MIRADOURO;3.644;1.128;385;687;1.756;20;2.576;10.196;
314220 MIRAI;7.783;91;171;867;3.152;92;2.474;14.630;
314230 MOEDA;677;1.986;512;42;5;-;657;3.879;
314240 MOEMA;1.927;-;3.366;-;5;-;157;5.455;
314250 MONJOLOS;-;-;1.809;30;-;-;1.069;2.908;
314260 MONSENHOR PAULO;3.937;58;2.190;7;391;-;416;6.999;
314270 MONTALVANIA;-;3;6.259;2.618;-;3;7.509;16.392;
314280 MONTE ALEGRE DE MINAS;9.555;17;4.898;723;139;32;2.426;17.790;
314290 MONTE AZUL;-;-;27.561;103;156;41;9.735;37.596;
314300 MONTE BELO;4.147;21;8.292;83;302;2;585;13.432;
314310 MONTE CARMELO;22.671;49;10.155;22;145;-;1.515;34.557;
314320 MONTE SANTO DE MINAS;11.609;2.886;2.889;88;15;23;1.547;19.057;
314330 MONTES CLAROS;165.225;1.703;55.332;2.024;944;270;22.504;248.002;
314340 MONTE SIAO;8.179;952;7.505;58;325;4;230;17.253;
314350 MORADA NOVA DE MINAS;-;14;5.329;10;6;-;1.259;6.618;
314360 MORRO DA GARCA;-;-;2.218;13;51;19;728;3.029;
314370 MORRO DO PILAR;735;-;147;1.262;26;-;1.672;3.842;
314380 MUNHOZ;2.379;156;1.316;642;10;4;1.134;5.641;
314390 MURIAE;60.326;1.613;3.634;955;13.867;332;3.451;84.178;
314400 MUTUM;5.075;104;7.187;2.364;4.019;51;8.185;26.985;
314410 MUZAMBINHO;10.822;83;4.643;79;1.393;2;745;17.767;
314420 NACIP RAYDAN;464;339;1.354;262;7;1;1.546;3.973;
314430 NANUQUE;20.353;1.091;8.357;3.582;1.444;112;7.998;42.937;
314440 NATERCIA;1.575;-;664;123;1.380;2;593;4.337;
314450 NAZARENO;2.503;1.646;1.480;15;41;-;1.226;6.911;
314460 NEPOMUCENO;13.311;2;8.197;57;344;-;1.989;23.900;
314470 NOVA ERA;12.369;1.593;1.381;305;915;7;735;17.305;
314480 NOVA LIMA;40.187;2.485;3.766;1.058;3.692;31;629;51.848;
314490 NOVA MODICA;632;198;594;529;600;5;1.839;4.397;
314500 NOVA PONTE;5.594;42;2.859;52;151;3;579;9.280;
314510 NOVA RESENDE;16;116;9.482;25;15;-;2.031;11.685;
314520 NOVA SERRANA;13.442;10;3.876;18;23;-;474;17.843;
314530 NOVO CRUZEIRO;2.036;82;6.394;626;1.249;5;20.266;30.658;
314540 OLARIA;489;-;122;625;1.017;-;17;2.270;
314550 OLIMPIO NORONHA;1.114;-;164;4;206;-;349;1.837;
314560 OLIVEIRA;19.343;374;5.394;486;3.914;13;2.565;32.089;
314570 OLIVEIRA FORTES;737;-;33;31;681;8;687;2.177;
314580 ONCA DE PITANGUI;469;153;2.097;57;28;-;209;3.013;
314590 OURO BRANCO;20.356;119;4.460;201;333;6;1.619;27.094;
314600 OURO FINO;14.814;873;6.246;751;6.682;39;964;30.369;
314610 OURO PRETO;38.378;1.210;7.142;2.210;8.486;243;4.175;61.844;
314620 OURO VERDE DE MINAS;818;138;2.738;115;194;3;3.897;7.903;
314630 PADRE PARAISO;4.041;8;6.468;308;884;54;5.542;17.305;
314640 PAINEIRAS;-;15;3.855;-;-;-;1.327;5.197;
314650 PAINS;3.668;70;3.019;153;459;6;615;7.990;
314660 PAIVA;362;519;185;68;53;-;212;1.399;
314670 PALMA;3.333;1.445;439;183;710;7;921;7.038;
314690 PAPAGAIOS;-;8;7.984;19;-;-;1.348;9.359;
314700 PARACATU;28.407;59;24.123;156;168;73;9.242;62.228;
314710 PARA DE MINAS;43.132;342;13.514;546;1.251;68;1.951;60.804;
314720 PARAGUACU;10.576;14;4.714;-;138;-;963;16.405;
314730 PARAISOPOLIS;9.323;22;1.620;195;2.036;-;1.314;14.510;
314740 PARAOPEBA;6.891;8;7.869;214;4;29;1.888;16.903;
314750 PASSABEM;185;-;492;237;556;-;211;1.681;
314760 PASSA QUATRO;9.088;106;852;132;2.348;-;809;13.335;
314770 PASSA TEMPO;4.241;550;1.573;84;241;14;1.434;8.137;
314780 PASSA-VINTE;1.142;715;17;119;27;2;372;2.394;
314790 PASSOS;67.133;109;12.305;744;373;2;3.350;84.016;
314800 PATOS DE MINAS;76.560;100;18.059;176;950;9;6.434;102.288;
314810 PATROCINIO;40.060;150;16.606;394;147;-;2.582;59.939;
314820 PATROCINIO DO MURIAE;2.133;460;637;668;8;4;470;4.380;
314830 PAULA CANDIDO;2.586;8;2.037;10;2.209;8;1.434;8.292;
314840 PAULISTAS;2;2;2.913;418;868;-;1.552;5.755;
314850 PAVAO;2.328;637;8.570;27;452;6;2.953;14.973;
314860 PECANHA;2.266;54;6.760;920;656;1;10.151;20.808;
314870 PEDRA AZUL;9.121;148;7.869;363;241;33;4.214;21.989;
314880 PEDRA DO ANTA;1.226;9;199;8;1.103;10;1.605;4.160;
314890 PEDRA DO INDAIA;1.266;-;1.529;24;78;-;1.082;3.979;
314900 PEDRA DOURADA;706;142;380;68;41;-;284;1.621;
314910 PEDRALVA;4.220;-;995;214;4.513;5;1.006;10.953;
314920 PEDRINOPOLIS;2.357;6;1.424;60;15;-;480;4.342;
314930 PEDRO LEOPOLDO;24.013;2.986;11.973;17;488;14;1.899;41.390;
314940 PEDRO TEIXEIRA;170;63;180;6;554;15;582;1.570;
314950 PEQUERI;2.085;272;35;3;232;-;69;2.696;
314960 PEQUI;-;-;2.773;-;16;-;387;3.176;
314970 PERDIGAO;687;-;3.529;-;35;-;275;4.526;
314980 PERDIZES;3.912;91;3.651;833;3;-;2.151;10.641;
314990 PERDOES;10.212;44;3.500;132;1.318;46;993;16.245;
315000 PESCADOR;1.426;222;333;295;435;-;1.621;4.332;
315010 PIAU;956;28;354;6;1.113;-;548;3.005;
315020 PIEDADE DE PONTE NOVA;1.350;67;338;113;1.561;-;941;4.370;
315030 PIEDADE DO RIO GRANDE;888;1.799;1.332;121;60;-;799;4.999;
315040 PIEDADE DOS GERAIS;-;9;2.541;-;27;-;1.645;4.222;
315050 PIMENTA;3.142;4;2.673;7;255;3;591;6.675;
315060 PIRACEMA;1.471;14;1.982;327;109;15;2.119;6.037;
315070 PIRAJUBA;1.485;6;1.327;128;40;-;112;3.098;
315080 PIRANGA;2.084;18;5.333;17;5.656;16;3.148;16.272;
315090 PIRANGUCU;1.256;-;1.650;147;1.397;-;105;4.555;
315100 PIRANGUINHO;2.717;6;1.619;42;1.447;-;504;6.335;
315110 PIRAPETINGA;5.518;246;198;141;2.099;7;742;8.951;
315120 PIRAPORA;282;79;43.151;281;316;-;1.733;45.842;
315130 PIRAUBA;5.651;15;1.410;4;1.262;-;783;9.125;
315140 PITANGUI;14.543;38;3.431;207;132;1;1.619;19.971;
315150 PIUMHI;16.673;36;6.582;46;217;39;1.148;24.741;
315160 PLANURA;6.264;10;756;30;17;-;218;7.295;
315170 POCO FUNDO;6.018;2;2.992;384;1.986;-;2.346;13.728;
315180 POCOS DE CALDAS;95.653;3.915;4.871;1.411;1.794;24;1.733;109.401;
315190 POCRANE;876;-;1.781;820;3.261;3;4.438;11.179;
315200 POMPEU;7.795;46;8.319;418;31;32;3.484;20.125;
315210 PONTE NOVA;39.159;203;3.405;236;9.432;7;3.941;56.383;
315220 PORTEIRINHA;392;1;34.043;5;-;6;19.220;53.667;
315230 PORTO FIRME;1.835;7;3.496;265;2.475;-;1.315;9.393;
315240 POTE;1.907;161;7.547;182;401;6;4.382;14.586;
315250 POUSO ALEGRE;68.657;139;9.274;606;689;3;1.913;81.281;
315260 POUSO ALTO;2.583;54;318;8;2.250;3;626;5.842;
315270 PRADOS;2.307;29;2.120;31;1.025;14;1.823;7.349;
315280 PRATA;10.442;3.331;7.660;438;102;16;1.263;23.252;
315290 PRATAPOLIS;7.066;480;1.502;7;50;9;240;9.354;
315300 PRATINHA;887;155;595;30;8;6;817;2.498;
315310 PRESIDENTE BERNARDES;1.015;1.519;2.334;339;462;-;736;6.405;
315320 PRESIDENTE JUSCELINO;672;123;2.053;21;19;2;1.402;4.292;
315330 PRESIDENTE KUBITSCHEK;1.251;-;598;18;20;-;1.037;2.924;
315340 PRESIDENTE OLEGARIO;4.711;17;10.008;91;77;4;8.129;23.037;
315350 ALTO JEQUITIBA;2.170;37;576;738;3.145;30;693;7.389;
315360 PRUDENTE DE MORAIS;-;15;6.178;37;6;-;500;6.736;
315370 QUARTEL GERAL;-;4;1.834;22;5;-;1.078;2.943;
315380 QUELUZITO;240;36;644;15;218;-;574;1.727;
315390 RAPOSOS;12.359;470;142;319;609;-;178;14.077;
315400 RAUL SOARES;7.855;98;3.129;573;9.335;56;8.256;29.302;
315410 RECREIO;6.232;20;449;1.630;1.459;52;700;10.542;
315420 RESENDE COSTA;216;-;7.465;107;183;5;1.674;9.650;
315430 RESPLENDOR;7.857;37;3.238;1.197;2.274;9;2.735;17.347;
315440 RESSAQUINHA;1.789;25;3.584;385;1.509;7;2.015;9.314;
315450 RIACHO DOS MACHADOS;-;-;4.104;-;-;-;6.091;10.195;
315460 RIBEIRAO DAS NEVES;59.488;2.074;63.226;5.548;6.614;157;5.488;142.595;
315470 RIBEIRAO VERMELHO;2.830;213;439;10;29;-;63;3.584;
315480 RIO ACIMA;5.025;369;876;172;206;-;367;7.015;
315490 RIO CASCA;6.713;10;1.796;45;4.209;50;2.512;15.335;
315500 RIO DOCE;1.053;-;192;6;869;-;499;2.619;
315510 RIO DO PRADO;152;166;4.754;662;25;12;7.606;13.377;
315520 RIO ESPERA;491;390;1.805;639;2.047;2;2.075;7.449;
315530 RIO MANSO;-;-;3.399;25;12;-;1.022;4.458;
315540 RIO NOVO;7.489;143;1.197;22;1.621;-;675;11.147;
315550 RIO PARANAIBA;2.703;43;4.586;19;4;4;2.000;9.359;
315560 RIO PARDO DE MINAS;-;11;18.112;190;3;27;30.099;48.442;
315570 RIO PIRACICABA;7.888;63;1.572;1.701;1.441;-;952;13.617;
315580 RIO POMBA;9.794;32;792;4;3.547;-;614;14.783;
315590 RIO PRETO;2.136;369;757;707;1.905;15;1.315;7.204;
315600 RIO VERMELHO;965;2;6.198;105;123;-;8.433;15.826;
315610 RITAPOLIS;-;58;4.327;166;69;-;1.077;5.697;
315620 ROCHEDO DE MINAS;1.052;374;67;1;3;-;38;1.535;
315630 RODEIRO;2.085;35;104;12;1.022;4;475;3.737;
315640 ROMARIA;1.797;-;1.338;7;22;-;175;3.339;
315650 RUBELITA;245;12;2.999;38;44;13;6.651;10.002;
315660 RUBIM;2.402;32;5.091;75;38;28;3.087;10.753;
315670 SABARA;57.520;4.347;15.689;3.308;2.818;97;4.491;88.270;
315680 SABINOPOLIS;1.959;11;7.610;300;2.660;8;3.471;16.019;
315690 SACRAMENTO;12.373;768;4.428;331;308;132;1.907;20.247;
315700 SALINAS;6.184;124;23.382;793;277;133;19.854;50.747;
315710 SALTO DA DIVISA;1.436;40;1.301;191;672;28;3.945;7.613;
315720 SANTA BARBARA;16.604;294;4.228;360;2.634;38;1.678;25.836;
315730 SANTA BARBARA DO TUGURIO;1.089;115;460;126;1.436;4;2.043;5.273;
315740 SANTA CRUZ DO ESCALVADO;446;9;759;48;2.647;3;2.484;6.396;
315750 SANTA EFIGENIA DE MINAS;1.013;31;1.508;137;2;-;2.295;4.986;
315760 SANTA FE DE MINAS;-;41;1.071;-;11;-;2.963;4.086;
315770 SANTA JULIANA;4.979;75;1.898;87;2;-;756;7.797;
315780 SANTA LUZIA;83.770;1.050;39.835;3.949;4.346;33;3.556;136.539;
315790 SANTA MARGARIDA;2.910;14;843;968;4.846;7;3.173;12.761;
315800 SANTA MARIA DE ITABIRA;3.594;2.824;1.332;856;83;5;1.671;10.365;
315810 SANTA MARIA DO SALTO;-;4;1.269;77;1.435;-;2.508;5.293;
315820 SANTA MARIA DO SUACUI;1.537;7;7.295;81;2.400;61;6.837;18.218;
315830 SANTANA DA VARGEM;2.800;11;3.184;62;395;-;390;6.842;
315840 SANTANA DE CATAGUASES;1.822;69;105;383;709;5;437;3.530;
315850 SANTANA DE PIRAPAMA;934;34;3.159;17;72;6;4.940;9.162;
315860 SANTANA DO DESERTO;1.496;83;175;37;1.393;5;216;3.405;
315870 SANTANA DO GARAMBEU;728;27;608;232;-;-;140;1.735;
315880 SANTANA DO JACARE;2.383;-;979;-;51;-;386;3.799;
315890 SANTANA DO MANHUACU;2.304;10;269;15;3.848;5;2.705;9.156;
315900 SANTANA DO RIACHO;-;-;1.597;-;60;-;1.736;3.393;
315910 SANTANA DOS MONTES;613;121;1.202;661;194;2;1.342;4.135;
315920 SANTA RITA DE CALDAS;4.092;37;1.017;1.248;2.083;-;738;9.215;
315930 SANTA RITA DE JACUTINGA;2.484;62;118;378;1.488;-;541;5.071;
315940 SANTA RITA DE IBITIPOCA;1.181;42;768;121;138;-;1.808;4.058;
315950 SANTA RITA DO ITUETO;636;14;2.978;343;401;7;1.711;6.090;
315960 SANTA RITA DO SAPUCAI;18.767;39;3.077;158;2.750;21;1.346;26.158;
315970 SANTA ROSA DA SERRA;722;-;1.675;6;1;-;457;2.861;
315980 SANTA VITORIA;7.232;305;7.131;5;243;3;1.569;16.488;
315990 SANTO ANTONIO DO AMPARO;8.238;781;2.254;570;60;5;1.782;13.690;
316000 SANTO ANTONIO DO AVENTUREIRO;143;143;238;2.178;418;-;369;3.489;
316010 SANTO ANTONIO DO GRAMA;1.975;-;439;47;1.054;-;1.061;4.576;
316020 SANTO ANTONIO DO ITAMBE;431;9;2.679;5;111;11;1.191;4.437;
316030 SANTO ANTONIO DO JACINTO;975;530;1.231;1.181;27;11;8.030;11.985;
316040 SANTO ANTONIO DO MONTE;12.056;32;3.996;171;299;41;1.307;17.902;
316050 SANTO ANTONIO DO RIO ABAIXO;213;-;178;557;113;-;1.031;2.092;
316060 SANTO HIPOLITO;-;-;2.873;-;-;-;820;3.693;
316070 SANTOS DUMONT;32.705;1.644;1.420;586;5.593;3;2.641;44.592;
316080 SAO BENTO ABADE;1.705;218;161;-;-;17;446;2.547;
316090 SAO BRAS DO SUACUI;8;8;2.592;7;25;-;522;3.162;
316100 SAO DOMINGOS DO PRATA;5.378;51;2.815;3.656;4.943;3;1.789;18.635;
316110 SAO FRANCISCO;-;-;30.955;274;54;14;40.674;71.971;
316120 SAO FRANCISCO DE PAULA;1.533;822;1.333;181;237;21;2.012;6.139;
316130 SAO FRANCISCO DE SALES;760;1;3.479;37;58;-;602;4.937;
316140 SAO FRANCISCO DO GLORIA;1.809;581;292;115;2.766;2;796;6.361;
316150 SAO GERALDO;3.211;63;413;179;2.139;13;1.819;7.837;
316160 SAO GERALDO DA PIEDADE;1.450;233;362;90;67;-;2.846;5.048;
316170 SAO GONCALO DO ABAETE;2.181;3;4.496;289;-;-;2.650;9.619;
316180 SAO GONCALO DO PARA;2.781;11;4.345;8;12;5;376;7.538;
316190 SAO GONCALO DO RIO ABAIXO;2.631;13;1.175;840;2.729;-;911;8.299;
316200 SAO GONCALO DO SAPUCAI;13.124;32;3.743;25;1.732;22;841;19.519;
316210 SAO GOTARDO;11.757;8;6.310;98;250;-;1.170;19.593;
316220 SAO JOAO BATISTA DO GLORIA;2.595;-;2.080;60;166;-;388;5.289;
316230 SAO JOAO DA MATA;1.042;-;393;265;628;-;205;2.533;
316240 SAO JOAO DA PONTE;-;182;12.663;184;15;15;19.066;32.125;
316250 SAO JOAO DEL REI;48.486;297;14.051;873;4.367;14;4.249;72.337;
316260 SAO JOAO DO ORIENTE;3.636;17;415;411;2.160;11;1.503;8.153;
316270 SAO JOAO DO PARAISO;-;48;8.779;7;22;27;19.927;28.810;
316280 SAO JOAO EVANGELISTA;3.168;53;5.307;421;2.416;4;3.946;15.315;
316290 SAO JOAO NEPOMUCENO;17.616;700;534;113;1.957;7;370;21.297;
316300 SAO JOSE DA SAFIRA;554;154;1.825;13;298;2;832;3.678;
316310 SAO JOSE DA VARGINHA;-;74;2.200;339;1;-;70;2.684;
316320 SAO JOSE DO ALEGRE;1.641;-;491;44;846;-;298;3.320;
316330 SAO JOSE DO DIVINO;1.409;595;105;-;-;-;2.128;4.237;
316340 SAO JOSE DO GOIABAL;2.316;6;1.164;206;1.197;13;1.209;6.111;
316350 SAO JOSE DO JACURI;446;4;3.453;491;932;9;5.636;10.971;
316360 SAO JOSE DO MANTIMENTO;814;9;164;27;421;-;789;2.224;
316370 SAO LOURENCO;25.730;161;621;195;2.197;35;685;29.624;
316380 SAO MIGUEL DO ANTA;1.270;10;1.268;685;1.744;3;1.317;6.297;
316390 SAO PEDRO DA UNIAO;1.282;7;2.368;180;689;-;515;5.041;
316400 SAO PEDRO DOS FERROS;4.992;14;1.577;652;1.591;14;1.420;10.260;
316410 SAO PEDRO DO SUACUI;818;583;2.954;155;1.037;3;3.664;9.214;
316420 SAO ROMAO;-;3;6.400;-;-;34;7.603;14.040;
316430 SAO ROQUE DE MINAS;1.572;129;2.713;111;19;6;1.708;6.258;
316440 SAO SEBASTIAO DA BELA VISTA;1.825;65;1.446;70;80;6;365;3.857;
316450 SAO SEBASTIAO DO MARANHAO;58;51;7.446;106;212;-;4.927;12.800;
316460 SAO SEBASTIAO DO OESTE;539;-;3.390;349;10;3;765;5.056;
316470 SAO SEBASTIAO DO PARAISO;38.296;308;5.417;439;2.748;13;1.524;48.745;
316480 SAO SEBASTIAO DO RIO PRETO;514;181;733;4;4;-;674;2.110;
316490 SAO SEBASTIAO DO RIO VERDE;703;470;95;193;29;-;312;1.802;
316500 SAO TIAGO;889;96;5.099;562;195;9;2.764;9.614;
316510 SAO TOMAS DE AQUINO;3.922;43;1.261;-;653;4;982;6.865;
316520 SAO THOME DAS LETRAS;1.693;100;345;797;352;3;2.355;5.645;
316530 SAO VICENTE DE MINAS;3.829;262;490;82;126;-;607;5.396;
316540 SAPUCAI-MIRIM;2.031;-;519;450;752;-;512;4.264;
316550 SARDOA;547;90;1.652;19;235;7;1.718;4.268;
316560 SENADOR CORTES;822;130;16;-;691;13;166;1.838;
316570 SENADOR FIRMINO;1.392;2;2.778;252;1.258;10;535;6.227;
316580 SENADOR JOSE BENTO;536;10;489;650;-;-;328;2.013;
316590 SENADOR MODESTINO GONCALVES;934;34;695;64;81;-;3.467;5.275;
316600 SENHORA DE OLIVEIRA;1.299;107;1.447;22;1.432;-;764;5.071;
316610 SENHORA DO PORTO;677;-;570;31;586;-;1.834;3.698;
316620 SENHORA DOS REMEDIOS;2.482;2.173;688;251;1.155;2;2.868;9.619;
316630 SERICITA;1.459;25;157;9;2.321;5;2.391;6.367;
316640 SERITINGA;891;-;99;187;144;-;395;1.716;
316650 SERRA AZUL DE MINAS;408;18;1.610;214;1;-;1.623;3.874;
316660 SERRA DA SAUDADE;254;-;486;-;-;5;103;848;
316670 SERRA DOS AIMORES;-;31;7.852;687;30;-;1.587;10.187;
316680 SERRA DO SALITRE;2.766;673;3.510;119;27;5;812;7.912;
316690 SERRANIA;4.562;-;1.695;8;260;8;324;6.857;
316700 SERRANOS;530;5;282;686;5;5;517;2.030;
316710 SERRO;3.319;-;7.755;337;588;9;7.211;19.219;
316720 SETE LAGOAS;106.464;411;31.936;237;482;31;3.404;142.965;
316730 SILVEIRANIA;530;-;235;-;934;-;331;2.030;
316740 SILVIANOPOLIS;2.364;6;2.658;-;305;-;481;5.814;
