;;;;;;;;;
Informações de Saúde;;;;;;;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;;;;;;;
Ajuda;;;;;;;;;
Notas Técnicas;;;;;;;;;
DATASUS;;;;;;;;;
Instalações sanitárias - Brasil;;;;;;;;;
Moradores por Instalações sanitárias segundo Município;;;;;;;;;
Período: 1991;;;;;;;;;
Município;Rede geral de esgoto ou pluvial;Fossa séptica;Fossa rudimendar;Vala;Outro escoadouro;Não sabe o tipo de escoadouro;Não tem instalação sanitária;Total;
Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010;;;;;;;;;
Consulte o site da Secretaria Estadual de Saúde para mais informações.;;;;;;;;;
;;;;;;;;;
150100 AVEIRO;-;155;7.277;44;4;-;3.345;10.825;
150110 BAGRE;-;94;7.414;1.071;1.368;12;3.846;13.805;
150120 BAIAO;-;882;13.889;21;121;-;5.084;19.997;
150130 BARCARENA;55;11.839;22.225;-;3.611;4;8.102;45.836;
150140 BELEM;26.310;734.074;316.095;73.514;14.378;3.196;71.997;1.239.564;
150150 BENEVIDES;-;19.949;41.030;557;101;6;6.084;67.727;
150157 BOM JESUS DO TOCANTINS;-;78;8.384;314;75;11;6.969;15.831;
150160 BONITO;-;243;4.646;1.037;44;3;2.517;8.490;
150170 BRAGANCA;-;16.597;60.047;8.909;1.231;-;9.753;96.537;
150175 BREJO GRANDE DO ARAGUAIA;-;75;6.828;38;2;11;4.926;11.880;
150180 BREVES;-;4.809;37.150;1.832;15.578;61;12.461;71.891;
150190 BUJARU;-;631;6.870;66;43;18;6.363;13.991;
150200 CACHOEIRA DO ARARI;-;97;10.529;101;32;-;2.455;13.214;
150210 CAMETA;17;7.807;28.972;11;33.580;10;14.668;85.065;
150220 CAPANEMA;-;15.829;31.091;460;101;9;3.587;51.077;
150230 CAPITAO POCO;-;5.777;34.124;1.105;502;-;3.796;45.304;
150240 CASTANHAL;-;35.854;56.872;491;963;13;7.503;101.696;
150250 CHAVES;-;74;13.865;788;629;-;1.939;17.295;
150260 COLARES;-;641;7.464;13;4;-;145;8.267;
150270 CONCEICAO DO ARAGUAIA;-;17.208;13.108;84;453;52;23.636;54.541;
150275 CONCORDIA DO PARA;-;45;11.217;279;71;6;3.527;15.145;
150277 CURIONOPOLIS;-;1.873;24.215;19;43;14;11.763;37.927;
150280 CURRALINHO;-;348;2.509;10.766;410;11;1.117;15.161;
150290 CURUCA;-;1.548;18.561;1.205;1.980;16;2.364;25.674;
150293 DOM ELISEU;-;240;17.901;1.106;5;8;4.849;24.109;
150300 FARO;-;629;10.983;60;845;-;1.046;13.563;
150307 GARRAFAO DO NORTE;-;315;11.914;281;98;37;7.693;20.338;
150310 GURUPA;-;476;7.336;2.051;3.155;6;5.826;18.850;
150320 IGARAPE-ACU;-;4.734;20.231;9;26;-;2.066;27.066;
150330 IGARAPE-MIRI;-;2.873;18.545;866;5.253;29;13.919;41.485;
150340 INHANGAPI;-;452;4.296;645;342;8;833;6.576;
150350 IRITUIA;-;1.050;17.447;7.512;232;42;4.766;31.049;
150360 ITAITUBA;-;14.475;70.266;99;1.589;193;20.431;107.053;
150370 ITUPIRANGA;-;1.474;14.844;25;121;7;20.486;36.957;
150380 JACUNDA;-;215;21.820;386;40;13;20.232;42.706;
150390 JURUTI;-;536;21.425;105;57;27;984;23.134;
150400 LIMOEIRO DO AJURU;-;153;2.450;27;9.857;36;3.907;16.430;
150405 MAE DO RIO;-;2.738;23.253;47;14;-;2.979;29.031;
150410 MAGALHAES BARATA;-;440;6.494;-;-;-;288;7.222;
150420 MARABA;-;29.187;69.254;893;164;56;23.017;122.571;
150430 MARACANA;-;2.184;21.987;185;256;-;888;25.500;
150440 MARAPANIM;-;2.100;14.387;2.529;121;-;706;19.843;
150445 MEDICILANDIA;-;788;17.688;139;197;16;10.580;29.408;
150450 MELGACO;-;137;6.509;4.521;2.242;-;886;14.295;
150460 MOCAJUBA;-;2.328;11.256;-;114;-;4.730;18.428;
150470 MOJU;-;1.480;19.713;182;361;12;22.489;44.237;
150480 MONTE ALEGRE;-;3.705;28.855;109;829;5;13.225;46.728;
150490 MUANA;-;1.211;3.528;3.238;12.471;38;1.810;22.296;
150500 NOVA TIMBOTEUA;-;652;8.477;3;26;-;260;9.418;
150510 OBIDOS;-;4.161;32.646;946;182;9;4.080;42.024;
150520 OEIRAS DO PARA;-;506;5.882;55;7.358;31;4.837;18.669;
150530 ORIXIMINA;3.921;4.067;28.878;377;255;11;2.907;40.416;
150540 OUREM;-;3.327;18.790;27;1.622;-;7.158;30.924;
150543 OURILANDIA DO NORTE;-;1.986;11.592;28;112;31;9.404;23.153;
150548 PACAJA;-;422;5.664;126;26;17;24.185;30.440;
150550 PARAGOMINAS;-;14.797;34.165;548;115;79;16.757;66.461;
150553 PARAUAPEBAS;7.591;3.818;24.239;197;886;51;15.446;52.228;
150560 PEIXE-BOI;-;891;4.901;8;-;-;146;5.946;
150570 PONTA DE PEDRAS;543;417;6.765;3.901;321;-;4.481;16.428;
150580 PORTEL;-;2.266;10.202;5.211;4.042;363;7.199;29.283;
150590 PORTO DE MOZ;-;520;6.153;128;155;14;8.407;15.377;
150600 PRAINHA;-;314;22.532;75;596;-;3.179;26.696;
150610 PRIMAVERA;-;1.340;13.652;267;156;18;1.466;16.899;
150613 REDENCAO;-;14.507;31.544;40;10;11;9.247;55.359;
150616 RIO MARIA;-;4.102;10.985;-;10;7;10.621;25.725;
150618 RONDON DO PARA;-;9.063;19.277;49;47;15;12.030;40.481;
150619 RUROPOLIS;-;4;9.548;38;41;22;9.672;19.325;
150620 SALINOPOLIS;-;7.210;13.838;88;615;60;737;22.548;
150630 SALVATERRA;-;1.330;9.589;378;26;-;521;11.844;
150640 SANTA CRUZ DO ARARI;-;142;3.153;501;119;-;843;4.758;
150650 SANTA IZABEL DO PARA;-;7.720;22.058;36;20;-;3.207;33.041;
150658 SANTA MARIA DAS BARREIRAS;-;599;2.476;-;53;-;3.727;6.855;
150660 SANTA MARIA DO PARA;-;2.926;11.690;275;143;-;2.756;17.790;
150670 SANTANA DO ARAGUAIA;-;3.783;8.486;36;418;5;2.702;15.430;
150680 SANTAREM;-;75.592;172.449;1.039;216;322;14.789;264.407;
150690 SANTAREM NOVO;-;194;3.858;63;5;-;366;4.486;
150700 SANTO ANTONIO DO TAUA;-;2.519;13.953;86;28;-;528;17.114;
150710 SAO CAETANO DE ODIVELAS;-;671;19.447;312;224;2;444;21.100;
150720 SAO DOMINGOS DO CAPIM;-;1.465;26.026;340;1.598;110;12.918;42.457;
150730 SAO FELIX DO XINGU;-;3.006;6.845;-;35;3;12.294;22.183;
150740 SAO FRANCISCO DO PARA;-;1.781;8.810;372;202;-;448;11.613;
150745 SAO GERALDO DO ARAGUAIA;-;1.004;9.375;575;36;36;27.189;38.215;
150747 SAO JOAO DE PIRABAS;-;703;13.840;198;34;-;1.306;16.081;
150750 SAO JOAO DO ARAGUAIA;-;555;8.124;45;808;6;10.046;19.584;
150760 SAO MIGUEL DO GUAMA;-;4.683;17.451;5.632;377;20;4.625;32.788;
150770 SAO SEBASTIAO DA BOA VISTA;-;494;5.725;241;7.043;4;1.354;14.861;
150780 SENADOR JOSE PORFIRIO;-;322;7.935;1.183;204;11;18.406;28.061;
150790 SOURE;-;3.721;11.906;27;15;-;1.652;17.321;
150795 TAILANDIA;-;1.652;10.784;182;7;-;4.883;17.508;
150800 TOME-ACU;-;7.225;22.515;219;23;1;11.150;41.133;
150808 TUCUMA;-;3.841;10.517;328;52;15;14.704;29.457;
150810 TUCURUI;9.357;15.416;42.601;117;276;13;13.422;81.202;
150815 URUARA;-;1.434;9.646;20;15;-;14.107;25.222;
150820 VIGIA;-;7.665;24.303;2.036;1.601;23;1.345;36.973;
150830 VISEU;-;1.455;48.114;5.810;4.610;25;2.896;62.910;
150840 XINGUARA;-;6.498;22.633;45;144;27;17.822;47.169;
160010 AMAPA;280;24;5.431;975;68;-;1.272;8.050;
160020 CALCOENE;153;227;709;2.424;45;-;1.536;5.094;
160023 FERREIRA GOMES;-;165;1.788;162;-;-;218;2.333;
160027 LARANJAL DO JARI;-;298;2.231;7.007;5.050;10;6.536;21.132;
160030 MACAPA;12.595;22.174;106.942;19.329;2.342;94;14.356;177.832;
160040 MAZAGAO;322;8;5.792;380;24;-;1.954;8.480;
160050 OIAPOQUE;524;335;3.439;1.565;185;5;1.387;7.440;
160060 SANTANA;1.454;1.437;38.618;4.638;774;5;4.074;51.000;
160070 TARTARUGALZINHO;-;2;2.409;1.196;-;-;1.023;4.630;
170035 ALIANCA DO TOCANTINS;-;-;4.544;-;23;-;2.269;6.836;
170040 ALMAS;-;-;1.847;-;736;3;4.868;7.454;
170070 ALVORADA;-;-;8.830;-;96;-;884;9.810;
170100 ANANAS;-;51;5.078;52;9;-;6.515;11.705;
170110 APARECIDA DO RIO NEGRO;-;-;1.917;-;9;-;1.340;3.266;
170190 ARAGUACEMA;-;4;2.584;65;-;-;3.722;6.375;
170200 ARAGUACU;-;39;7.951;-;4;-;4.685;12.679;
170210 ARAGUAINA;-;107;71.661;357;1.975;18;28.667;102.785;
170220 ARAGUATINS;-;19;10.148;1.503;187;7;15.863;27.727;
170230 ARAPOEMA;-;9;4.655;16;413;10;8.812;13.915;
170240 ARRAIAS;-;21;4.875;11;5;16;7.916;12.844;
170255 AUGUSTINOPOLIS;-;10;4.219;204;46;-;5.731;10.210;
170270 AURORA DO TOCANTINS;-;-;1.493;-;-;8;3.065;4.566;
170290 AXIXA DO TOCANTINS;-;584;4.045;9;296;12;4.958;9.904;
170300 BABACULANDIA;-;4;2.936;18;13;5;6.071;9.047;
170310 BARROLANDIA;-;-;4.148;9;-;4;2.341;6.502;
170320 BERNARDO SAYAO;-;27;1.227;-;-;-;3.058;4.312;
170370 BREJINHO DE NAZARE;-;-;2.376;-;-;8;4.416;6.800;
170380 BURITI DO TOCANTINS;-;153;2.917;739;14;-;4.128;7.951;
170390 CASEARA;-;69;1.682;-;-;-;941;2.692;
170550 COLINAS DO TOCANTINS;-;734;15.545;3;5;-;4.608;20.895;
170555 COMBINADO;-;-;2.982;-;-;-;1.828;4.810;
170560 CONCEICAO DO TOCANTINS;-;7;1.069;66;15;11;3.786;4.954;
