;;;;;;;;;
Informações de Saúde;;;;;;;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;;;;;;;
Ajuda;;;;;;;;;
Notas Técnicas;;;;;;;;;
DATASUS;;;;;;;;;
Instalações sanitárias - Brasil;;;;;;;;;
Moradores por Instalações sanitárias segundo Município;;;;;;;;;
Período: 2010;;;;;;;;;
Município;Rede geral de esgoto ou pluvial;Fossa séptica;Fossa rudimendar;Vala;Rio, lago ou mar;Outro escoadouro;Não tem instalação sanitária;Total;
Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010;;;;;;;;;
Consulte o site da Secretaria Estadual de Saúde para mais informações.;;;;;;;;;
;;;;;;;;;
130150 ENVIRA;181;885;6.869;3.493;633;2.107;2.145;16.313;
130160 FONTE BOA;245;203;9.418;3.800;530;1.999;6.552;22.747;
130165 GUAJARA;78;892;2.923;1.494;62;7.891;541;13.881;
130170 HUMAITA;1.994;4.561;22.695;6.479;1.106;5.366;1.820;44.021;
130180 IPIXUNA;202;57;3.486;5.922;420;6.932;5.176;22.195;
130185 IRANDUBA;801;5.144;25.422;5.269;1.178;1.216;1.571;40.601;
130190 ITACOATIARA;3.404;13.618;48.458;9.557;3.021;6.500;1.735;86.293;
130195 ITAMARATI;311;143;1.946;1.926;339;1.117;2.247;8.029;
130200 ITAPIRANGA;34;495;5.394;1.440;27;476;243;8.109;
130210 JAPURA;34;1.041;2.595;1.086;307;986;1.199;7.248;
130220 JURUA;776;658;1.838;2.723;1.652;822;2.294;10.763;
130230 JUTAI;111;49;5.099;5.666;726;1.610;4.668;17.929;
130240 LABREA;4.855;1.891;6.571;5.779;3.187;8.059;7.155;37.497;
130250 MANACAPURU;6.891;13.176;40.885;8.759;7.349;4.812;2.981;84.853;
130255 MANAQUIRI;396;1.328;13.247;4.927;1.295;184;1.264;22.641;
130260 MANAUS;720.585;397.444;491.299;46.024;101.018;24.867;12.717;1.793.954;
130270 MANICORE;447;3.217;31.982;2.697;243;4.326;3.883;46.795;
130280 MARAA;1.573;2.415;2.637;1.703;1.508;1.444;6.188;17.468;
130290 MAUES;995;13.066;27.887;6.131;549;2.350;1.014;51.992;
130300 NHAMUNDA;95;2.823;9.258;4.167;60;1.606;213;18.222;
130310 NOVA OLINDA DO NORTE;1.674;2.257;15.437;6.128;1.943;980;1.871;30.290;
130320 NOVO AIRAO;110;2.144;7.552;2.085;79;247;2.401;14.618;
130330 NOVO ARIPUANA;2.021;908;10.666;1.007;1.186;1.705;3.819;21.312;
130340 PARINTINS;1.529;17.912;54.810;11.160;686;13.777;1.275;101.149;
130350 PAUINI;904;3.296;3.041;2.831;709;1.435;5.850;18.066;
130353 PRESIDENTE FIGUEIREDO;7.427;2.617;14.379;167;162;990;1.175;26.917;
130356 RIO PRETO DA EVA;233;2.098;20.772;816;39;644;696;25.298;
130360 SANTA ISABEL DO RIO NEGRO;168;960;4.075;1.051;138;186;11.386;17.964;
130370 SANTO ANTONIO DO ICA;451;380;17.877;1.955;913;1.083;1.703;24.362;
