;;;;;;;;;
Informações de Saúde;;;;;;;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;;;;;;;
Ajuda;;;;;;;;;
Notas Técnicas;;;;;;;;;
DATASUS;;;;;;;;;
Instalações sanitárias - Brasil;;;;;;;;;
Moradores por Instalações sanitárias segundo Município;;;;;;;;;
Período: 2010;;;;;;;;;
Município;Rede geral de esgoto ou pluvial;Fossa séptica;Fossa rudimendar;Vala;Rio, lago ou mar;Outro escoadouro;Não tem instalação sanitária;Total;
Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010;;;;;;;;;
Consulte o site da Secretaria Estadual de Saúde para mais informações.;;;;;;;;;
;;;;;;;;;
291650 ITAPICURU;2.484;1.166;17.829;1.892;96;2.757;5.881;32.105;
291660 ITAPITANGA;7.764;292;648;860;174;61;350;10.149;
291670 ITAQUARA;4.146;500;2.429;156;171;118;143;7.663;
291680 ITARANTIM;13.964;213;865;1.652;421;656;735;18.506;
291685 ITATIM;267;124;11.737;204;68;244;1.832;14.476;
291690 ITIRUCU;4.308;2.403;5.628;30;-;42;257;12.668;
291700 ITIUBA;5.559;1.493;13.541;2.381;126;1.176;11.767;36.043;
291710 ITORORO;13.924;369;1.511;2.083;689;801;496;19.873;
291720 ITUACU;769;578;12.508;166;12;981;3.055;18.069;
291730 ITUBERA;9.255;201;5.551;1.003;6.377;1.015;2.973;26.375;
291733 IUIU;1.257;96;7.683;149;10;154;1.526;10.875;
291735 JABORANDI;2.309;1.772;3.549;96;6;198;1.015;8.945;
291740 JACARACI;324;553;11.403;90;233;170;842;13.615;
291750 JACOBINA;37.820;4.412;28.067;631;587;1.062;6.336;78.915;
291760 JAGUAQUARA;12.085;2.859;30.356;841;1.636;666;2.048;50.491;
291770 JAGUARARI;16.574;1.113;6.654;1.469;92;797;3.560;30.259;
291780 JAGUARIPE;512;814;8.897;700;766;978;3.632;16.299;
291790 JANDAIRA;30;382;7.679;327;32;667;1.129;10.246;
291800 JEQUIE;113.259;4.042;9.684;7.335;5.078;4.951;6.287;150.636;
291810 JEREMOABO;10.972;762;14.519;1.561;51;884;8.678;37.427;
291820 JIQUIRICA;3.514;460;6.000;1.359;632;539;1.543;14.047;
291830 JITAUNA;6.970;158;2.107;921;1.581;293;1.966;13.996;
291835 JOAO DOURADO;119;871;18.876;168;-;257;2.169;22.460;
291840 JUAZEIRO;103.545;22.905;49.086;6.487;653;3.496;10.948;197.120;
291845 JUCURUCU;2.972;685;2.326;859;645;507;2.244;10.238;
291850 JUSSARA;128;304;11.995;170;-;210;2.219;15.026;
291855 JUSSARI;4.175;63;895;736;87;115;392;6.463;
291860 JUSSIAPE;792;914;5.079;233;42;107;853;8.020;
291870 LAFAIETE COUTINHO;1.086;360;1.727;46;127;123;424;3.893;
291875 LAGOA REAL;102;636;10.496;312;6;493;1.879;13.924;
291880 LAJE;4.217;1.309;8.423;1.747;930;904;4.575;22.105;
291890 LAJEDAO;224;2.331;994;52;8;12;88;3.709;
291900 LAJEDINHO;776;10;1.677;23;137;24;1.277;3.924;
291905 LAJEDO DO TABOCAL;21;31;7.737;130;4;46;329;8.298;
291910 LAMARAO;1.598;164;3.726;437;19;356;3.246;9.546;
291915 LAPAO;1.623;1.347;20.188;182;4;300;1.877;25.521;
291920 LAURO DE FREITAS;87.967;41.842;22.513;3.137;4.772;468;728;161.427;
291930 LENCOIS;4.473;1.124;2.480;427;17;162;1.532;10.215;
291940 LICINIO DE ALMEIDA;186;395;11.166;89;1;57;413;12.307;
291950 LIVRAMENTO DE NOSSA SENHORA;10.258;2.546;23.242;318;170;1.286;4.727;42.547;
291955 LUIS EDUARDO MAGALHAES;697;10.022;48.330;41;2;75;394;59.561;
291960 MACAJUBA;4.164;375;3.453;188;5;70;2.936;11.191;
291970 MACARANI;13.369;149;1.554;539;310;556;529;17.006;
291980 MACAUBAS;8.911;2.649;24.444;797;7;1.037;9.104;46.949;
291990 MACURURE;36;48;4.543;211;73;702;2.444;8.057;
291992 MADRE DE DEUS;15.696;219;682;69;591;26;13;17.296;
291995 MAETINGA;1.628;23;3.327;46;1;54;1.944;7.023;
292000 MAIQUINIQUE;6.610;105;811;735;121;88;295;8.765;
292010 MAIRI;8.093;1.973;5.025;544;-;267;3.366;19.268;
292020 MALHADA;71;2.312;10.258;102;1;245;2.858;15.847;
292030 MALHADA DE PEDRAS;756;71;5.850;34;6;492;1.244;8.453;
292040 MANOEL VITORINO;119;299;9.581;429;33;292;3.619;14.372;
292045 MANSIDAO;25;318;8.175;7;-;52;3.944;12.521;
292050 MARACAS;94;2.214;19.325;728;16;439;1.738;24.554;
292060 MARAGOGIPE;14.649;1.584;10.063;1.841;6.096;2.308;6.007;42.548;
292070 MARAU;1.311;2.139;7.882;2.244;821;613;3.725;18.735;
292080 MARCIONILIO SOUZA;32;1.466;6.635;285;-;588;1.471;10.477;
292090 MASCOTE;5.771;845;5.907;892;186;128;792;14.521;
292100 MATA DE SAO JOAO;10.451;6.619;18.937;841;621;1.080;1.316;39.865;
292105 MATINA;34;352;6.516;118;-;158;3.938;11.116;
292110 MEDEIROS NETO;6.804;783;7.594;789;4.545;499;491;21.505;
292120 MIGUEL CALMON;9.028;1.771;9.421;861;747;691;3.899;26.418;
292130 MILAGRES;134;394;7.231;859;34;1.025;577;10.254;
292140 MIRANGABA;2.120;822;8.360;349;17;857;3.743;16.268;
292145 MIRANTE;1.330;801;3.413;367;67;221;4.297;10.496;
292150 MONTE SANTO;795;5.092;17.614;2.737;36;1.617;24.359;52.250;
292160 MORPARA;231;101;6.745;15;-;165;1.009;8.266;
292170 MORRO DO CHAPEU;667;2.601;24.747;549;66;735;5.667;35.032;
292180 MORTUGABA;134;69;11.392;39;28;38;756;12.456;
292190 MUCUGE;3.055;800;5.134;86;13;160;1.241;10.489;
292200 MUCURI;9.053;1.664;21.367;336;1.316;891;1.126;35.753;
292205 MULUNGU DO MORRO;18;34;8.737;195;7;800;2.418;12.209;
292210 MUNDO NOVO;6.502;2.478;10.890;874;465;326;2.766;24.301;
292220 MUNIZ FERREIRA;1.568;363;2.272;1.195;1.271;226;393;7.288;
292225 MUQUEM DE SAO FRANCISCO;139;1.583;6.384;56;-;75;1.995;10.232;
292230 MURITIBA;2.650;1.547;23.406;304;23;355;569;28.854;
292240 MUTUIPE;8.625;1.335;5.939;2.072;575;502;2.350;21.398;
292250 NAZARE;13.243;912;3.409;1.510;5.617;785;1.644;27.120;
292260 NILO PECANHA;2.283;1.651;2.509;1.459;1.197;654;2.721;12.474;
292265 NORDESTINA;120;373;5.576;341;17;433;5.492;12.352;
292270 NOVA CANAA;7.049;389;4.777;1.906;287;662;1.540;16.610;
292273 NOVA FATIMA;4.316;492;1.505;169;10;60;1.015;7.567;
292275 NOVA IBIA;2.330;20;1.591;1.033;536;107;998;6.615;
292280 NOVA ITARANA;201;297;5.997;71;-;86;781;7.433;
292285 NOVA REDENCAO;373;439;5.592;69;8;157;1.371;8.009;
292290 NOVA SOURE;140;144;17.442;797;5;946;4.606;24.080;
292300 NOVA VICOSA;5.684;1.348;28.546;266;458;306;1.789;38.397;
292303 NOVO HORIZONTE;126;1.049;8.166;208;8;167;771;10.495;
292305 NOVO TRIUNFO;7.866;314;3.225;329;-;1.565;1.716;15.015;
292310 OLINDINA;10.244;1.504;10.141;649;5;342;1.966;24.851;
292320 OLIVEIRA DOS BREJINHOS;197;2.627;14.477;195;4;405;3.862;21.767;
292330 OURICANGAS;883;401;5.608;19;6;337;1.030;8.284;
292335 OUROLANDIA;847;2.282;10.491;79;-;269;2.417;16.385;
292340 PALMAS DE MONTE ALTO;94;3.335;11.850;155;24;405;4.867;20.730;
292350 PALMEIRAS;2.135;207;5.033;163;-;62;743;8.343;
292360 PARAMIRIM;4.588;3.543;10.943;289;64;408;1.073;20.908;
292370 PARATINGA;63;810;17.570;64;-;547;10.420;29.474;
292380 PARIPIRANGA;3.218;3.683;17.409;647;12;852;1.840;27.661;
292390 PAU BRASIL;6.322;513;1.050;626;336;175;1.721;10.743;
292400 PAULO AFONSO;84.663;3.703;9.220;1.233;2.458;3.259;3.075;107.611;
292405 PE DE SERRA;244;127;8.727;233;14;436;3.912;13.693;
292410 PEDRAO;122;50;5.498;229;40;77;855;6.871;
292420 PEDRO ALEXANDRE;225;142;6.049;1.365;47;1.805;7.007;16.640;
292430 PIATA;280;569;14.799;70;5;365;1.858;17.946;
292440 PILAO ARCADO;74;525;13.549;306;12;1.644;16.664;32.774;
292450 PINDAI;84;369;12.210;286;18;874;1.763;15.604;
292460 PINDOBACU;6.000;2.290;9.417;194;43;385;1.656;19.985;
292465 PINTADAS;3.984;1.562;2.450;315;16;161;1.803;10.291;
292467 PIRAI DO NORTE;1.746;904;2.504;1.522;351;1.030;1.625;9.682;
292470 PIRIPA;388;219;9.919;301;64;457;1.331;12.679;
292480 PIRITIBA;7.089;602;12.162;319;7;235;1.892;22.306;
292490 PLANALTINO;12;48;6.808;858;2;125;893;8.746;
292500 PLANALTO;118;557;19.630;548;179;554;2.849;24.435;
292510 POCOES;23.807;4.246;10.452;1.135;245;731;3.935;44.551;
292520 POJUCA;25.929;2.974;1.514;220;283;1.671;393;32.984;
292525 PONTO NOVO;207;1.336;10.752;201;-;181;2.979;15.656;
292530 PORTO SEGURO;69.081;14.779;35.368;1.375;913;617;3.706;125.839;
292540 POTIRAGUA;7.478;95;431;1.052;106;208;399;9.769;
292550 PRADO;1.595;2.188;19.998;213;376;425;2.243;27.038;
292560 PRESIDENTE DUTRA;274;638;11.414;27;-;125;1.215;13.693;
292570 PRESIDENTE JANIO QUADROS;1.557;2.513;4.497;399;13;610;4.031;13.620;
292575 PRESIDENTE TANCREDO NEVES;5.385;861;9.731;1.456;227;782;5.285;23.727;
292580 QUEIMADAS;6.894;1.916;7.877;1.322;415;610;5.477;24.511;
292590 QUIJINGUE;1.284;2.131;12.315;535;5;441;10.355;27.066;
292593 QUIXABEIRA;24;370;7.118;303;-;216;1.503;9.534;
292595 RAFAEL JAMBEIRO;2.091;258;11.360;1.904;44;1.397;5.772;22.826;
292600 REMANSO;17.977;1.182;6.772;404;6;712;11.767;38.820;
292610 RETIROLANDIA;1.055;976;7.931;328;-;385;1.343;12.018;
292620 RIACHAO DAS NEVES;167;1.832;14.326;95;43;581;4.847;21.891;
292630 RIACHAO DO JACUIPE;17.681;3.603;6.112;1.621;366;825;2.883;33.091;
292640 RIACHO DE SANTANA;115;1.494;20.580;238;1;102;8.011;30.541;
292650 RIBEIRA DO AMPARO;50;99;9.531;543;4;1.343;2.623;14.193;
292660 RIBEIRA DO POMBAL;6.539;6.000;28.543;650;41;1.296;4.329;47.398;
292665 RIBEIRAO DO LARGO;2.429;173;4.102;622;77;136;1.015;8.554;
292670 RIO DE CONTAS;2.681;429;9.033;84;2;159;599;12.987;
292680 RIO DO ANTONIO;326;2.094;8.700;332;76;1.540;1.726;14.794;
292690 RIO DO PIRES;243;102;9.083;260;40;719;1.451;11.898;
292700 RIO REAL;1.080;2.284;29.067;830;173;714;2.911;37.059;
292710 RODELAS;5.996;723;494;83;4;50;392;7.742;
292720 RUY BARBOSA;14.447;968;8.705;1.198;56;781;3.588;29.743;
292730 SALINAS DA MARGARIDA;533;1.092;11.243;73;219;113;149;13.422;
292740 SALVADOR;2.396.786;64.617;70.469;62.763;37.583;10.556;9.890;2.652.664;
292750 SANTA BARBARA;664;453;12.983;478;5;589;3.867;19.039;
292760 SANTA BRIGIDA;4.104;986;5.164;623;3;843;3.242;14.965;
292770 SANTA CRUZ CABRALIA;8.834;3.563;11.201;276;146;468;1.530;26.018;
292780 SANTA CRUZ DA VITORIA;4.837;285;414;698;186;87;160;6.667;
292790 SANTA INES;6.823;34;2.325;183;67;230;650;10.312;
292800 SANTALUZ;15.593;2.723;6.439;2.484;35;971;5.427;33.672;
292805 SANTA LUZIA;5.764;248;2.937;1.554;290;288;2.134;13.215;
292810 SANTA MARIA DA VITORIA;1.333;3.780;28.523;273;1;428;5.850;40.188;
292820 SANTANA;1.172;2.015;18.337;233;3;270;2.596;24.626;
292830 SANTANOPOLIS;36;59;6.104;478;3;197;1.872;8.749;
292840 SANTA RITA DE CASSIA;2.860;702;15.019;111;13;691;6.712;26.108;
292850 SANTA TERESINHA;257;189;6.948;328;25;376;1.509;9.632;
292860 SANTO AMARO;29.900;4.020;13.835;1.446;3.076;1.936;3.207;57.420;
292870 SANTO ANTONIO DE JESUS;55.822;4.210;22.194;2.959;1.361;717;2.969;90.232;
292880 SANTO ESTEVAO;1.122;4.960;33.310;1.959;49;1.419;4.799;47.618;
292890 SAO DESIDERIO;816;1.476;18.038;376;-;263;6.238;27.207;
292895 SAO DOMINGOS;5.602;273;1.628;286;10;296;1.119;9.214;
292900 SAO FELIX;7.853;606;2.573;490;529;361;1.650;14.062;
292905 SAO FELIX DO CORIBE;83;99;12.003;19;-;96;697;12.997;
292910 SAO FELIPE;1.693;167;16.052;386;334;521;1.111;20.264;
292920 SAO FRANCISCO DO CONDE;16.792;5.346;4.373;1.076;2.882;1.259;1.213;32.941;
292925 SAO GABRIEL;145;1.318;14.271;126;6;318;2.165;18.349;
292930 SAO GONCALO DOS CAMPOS;2.334;238;27.854;966;19;735;1.043;33.189;
292935 SAO JOSE DA VITORIA;4.134;309;468;256;246;87;190;5.690;
292937 SAO JOSE DO JACUIPE;2.922;30;4.751;155;53;217;2.028;10.156;
292940 SAO MIGUEL DAS MATAS;1.080;639;6.324;633;362;320;1.025;10.383;
292950 SAO SEBASTIAO DO PASSE;22.044;5.926;5.904;3.041;1.675;1.485;1.908;41.983;
292960 SAPEACU;502;227;14.786;122;-;196;698;16.531;
292970 SATIRO DIAS;3.495;1.420;7.952;526;18;1.067;4.386;18.864;
292975 SAUBARA;2.704;446;7.417;220;124;105;132;11.148;
292980 SAUDE;2.096;104;7.690;63;5;413;1.448;11.819;
292990 SEABRA;806;831;30.818;284;130;1.265;7.508;41.642;
293000 SEBASTIAO LARANJEIRAS;415;892;7.811;224;6;192;771;10.311;
293010 SENHOR DO BONFIM;35.737;4.748;27.130;1.077;523;1.652;3.222;74.089;
293015 SERRA DO RAMALHO;67;720;28.184;108;10;579;1.885;31.553;
293020 SENTO SE;9.029;2.951;16.302;427;-;1.202;7.402;37.313;
293030 SERRA DOURADA;51;832;14.461;297;-;434;1.995;18.070;
293040 SERRA PRETA;1.212;499;9.781;459;11;594;2.816;15.372;
293050 SERRINHA;32.178;5.088;26.176;3.419;443;1.977;6.709;75.990;
293060 SERROLANDIA;272;280;10.417;56;-;470;785;12.280;
293070 SIMOES FILHO;66.285;9.535;26.231;3.696;7.617;1.918;2.019;117.301;
293075 SITIO DO MATO;11;1.550;8.547;89;-;450;1.373;12.020;
293076 SITIO DO QUINTO;1.753;320;7.224;637;-;563;2.047;12.544;
293077 SOBRADINHO;15.512;664;4.465;104;-;388;726;21.859;
293080 SOUTO SOARES;200;552;10.633;632;4;586;3.243;15.850;
293090 TABOCAS DO BREJO VELHO;53;670;7.794;28;-;1.248;1.621;11.414;
293100 TANHACU;2.193;84;13.140;557;44;601;3.352;19.971;
293105 TANQUE NOVO;59;254;11.677;505;8;229;3.345;16.077;
293110 TANQUINHO;3.449;120;3.223;120;64;209;811;7.996;
293120 TAPEROA;4.722;56;5.628;867;1.229;2.098;4.082;18.682;
293130 TAPIRAMUTA;281;131;14.305;326;54;341;976;16.414;
293135 TEIXEIRA DE FREITAS;98.198;5.616;28.878;1.977;697;436;1.027;136.829;
293140 TEODORO SAMPAIO;1.275;511;4.803;331;112;158;652;7.842;
293150 TEOFILANDIA;4.012;739;10.667;591;18;1.498;3.918;21.443;
293160 TEOLANDIA;2.976;2.149;2.571;1.172;675;600;4.637;14.780;
293170 TERRA NOVA;7.637;522;1.949;541;402;946;789;12.786;
293180 TREMEDAL;923;362;9.533;311;185;1.259;4.416;16.989;
293190 TUCANO;21.047;2.489;14.830;1.086;30;1.606;11.107;52.195;
293200 UAUA;364;283;14.267;1.230;19;919;7.145;24.227;
293210 UBAIRA;6.301;690;9.153;832;1.239;405;1.070;19.690;
293220 UBAITABA;12.691;831;1.904;1.553;1.109;321;2.138;20.547;
293230 UBATA;12.631;1.016;3.388;2.899;2.536;550;1.844;24.864;
293240 UIBAI;56;238;11.433;72;3;212;1.582;13.596;
293245 UMBURANAS;136;989;9.591;528;11;989;4.655;16.899;
293250 UNA;4.975;1.365;10.840;1.605;501;1.338;3.237;23.861;
293260 URANDI;1.123;126;12.919;72;31;404;1.755;16.430;
293270 URUCUCA;10.108;2.778;3.273;569;1.081;595;1.317;19.721;
293280 UTINGA;105;296;15.188;31;10;85;2.402;18.117;
293290 VALENCA;50.342;2.109;14.187;3.322;4.716;2.740;10.747;88.163;
293300 VALENTE;9.767;1.476;10.091;668;-;509;1.997;24.508;
293305 VARZEA DA ROCA;1.185;1.308;8.512;375;9;249;2.109;13.747;
293310 VARZEA DO POCO;1.727;32;6.094;91;21;70;620;8.655;
293315 VARZEA NOVA;586;3.871;6.338;169;-;251;1.831;13.046;
293317 VARZEDO;1.682;881;4.915;284;2;380;960;9.104;
293320 VERA CRUZ;4.789;4.359;24.620;421;1.089;724;1.264;37.266;
293325 VEREDA;1.938;123;2.483;817;819;138;464;6.782;
293330 VITORIA DA CONQUISTA;146.075;31.056;113.276;1.946;831;3.487;8.135;304.806;
293340 WAGNER;18;86;7.682;79;-;10;1.089;8.964;
293345 WANDERLEY;96;80;9.074;123;16;187;2.869;12.445;
293350 WENCESLAU GUIMARAES;5.702;355;5.984;2.218;1.783;1.191;4.677;21.910;
293360 XIQUE-XIQUE;5.656;11.104;19.624;102;84;1.523;7.329;45.422;
310010 ABADIA DOS DOURADOS;3.729;256;2.315;34;201;74;39;6.648;
310020 ABAETE;17.845;1.271;3.173;24;44;19;109;22.485;
310030 ABRE CAMPO;6.210;179;585;329;5.207;568;41;13.119;
310040 ACAIACA;2.340;124;345;6;1.086;3;6;3.910;
310050 ACUCENA;3.871;602;883;231;3.737;462;444;10.230;
310060 AGUA BOA;5.030;2.752;3.789;297;1.231;355;1.624;15.078;
310070 AGUA COMPRIDA;1.470;206;246;71;4;-;3;2.000;
310080 AGUANIL;2.635;108;1.143;3;141;4;4;4.038;
310090 AGUAS FORMOSAS;12.566;535;2.171;678;766;300;1.350;18.366;
310100 AGUAS VERMELHAS;3.652;965;7.176;14;-;59;835;12.701;
310110 AIMORES;18.548;1.383;1.927;1.404;1.071;371;87;24.791;
310120 AIURUOCA;2.121;692;1.295;202;1.663;32;53;6.058;
310130 ALAGOA;1.343;9;475;181;653;7;10;2.678;
310140 ALBERTINA;1.932;51;745;17;149;-;2;2.896;
310150 ALEM PARAIBA;27.386;102;472;823;5.286;82;52;34.203;
310160 ALFENAS;68.245;1.303;3.442;31;265;9;42;73.337;
310163 ALFREDO VASCONCELOS;3.643;140;1.068;167;989;40;27;6.074;
310170 ALMENARA;28.852;685;3.545;583;1.171;403;3.239;38.478;
310180 ALPERCATA;4.914;358;1.080;297;330;139;8;7.126;
310190 ALPINOPOLIS;14.729;268;3.201;26;63;36;13;18.336;
310200 ALTEROSA;9.766;352;3.524;10;8;5;4;13.669;
310205 ALTO CAPARAO;3.184;186;332;92;1.375;74;-;5.243;
310210 ALTO RIO DOCE;4.324;111;2.851;329;3.809;414;220;12.058;
310220 ALVARENGA;2.089;151;295;334;1.124;358;82;4.433;
310230 ALVINOPOLIS;10.797;467;440;151;3.084;130;77;15.146;
310240 ALVORADA DE MINAS;958;235;1.571;62;136;91;473;3.526;
310250 AMPARO DO SERRA;2.287;142;354;66;2.108;31;44;5.032;
310260 ANDRADAS;28.070;1.227;5.041;521;1.985;139;8;36.991;
310270 CACHOEIRA DE PAJEU;2.232;54;5.208;150;382;123;770;8.919;
310280 ANDRELANDIA;9.434;173;1.582;386;361;33;117;12.086;
310285 ANGELANDIA;3.197;48;4.075;87;106;141;341;7.995;
310290 ANTONIO CARLOS;6.891;301;1.592;256;1.920;81;42;11.083;
310300 ANTONIO DIAS;4.731;257;891;226;2.885;490;60;9.540;
310310 ANTONIO PRADO DE MINAS;1.167;144;1;345;4;4;6;1.671;
310320 ARACAI;1.185;14;1.038;3;-;-;3;2.243;
310330 ARACITABA;1.304;15;9;9;679;41;-;2.057;
310340 ARACUAI;10.491;3.152;17.116;540;141;349;3.902;35.691;
310350 ARAGUARI;74.412;17.767;16.671;86;26;94;82;109.138;
310360 ARANTINA;2.315;1;160;20;311;7;8;2.822;
310370 ARAPONGA;2.256;133;2.399;272;2.606;262;198;8.126;
310375 ARAPORA;5.822;22;266;6;14;6;2;6.138;
310380 ARAPUA;2.021;22;465;49;19;140;44;2.760;
310390 ARAUJOS;6.614;62;1.129;4;8;1;4;7.822;
310400 ARAXA;89.342;859;2.162;192;427;102;33;93.117;
310410 ARCEBURGO;8.083;249;1.002;16;87;9;9;9.455;
310420 ARCOS;33.069;1.684;1.443;30;83;18;22;36.349;
310430 AREADO;11.461;626;1.555;-;29;2;3;13.676;
310440 ARGIRITA;1.958;22;73;7;681;153;1;2.895;
310445 ARICANDUVA;1.377;554;2.345;21;94;30;329;4.750;
310450 ARINOS;3.155;1.094;11.179;139;17;250;1.757;17.591;
310460 ASTOLFO DUTRA;5.136;254;211;50;7.307;33;21;13.012;
310470 ATALEIA;5.822;1.316;3.604;438;1.334;452;1.445;14.411;
310480 AUGUSTO DE LIMA;188;734;3.705;14;28;139;114;4.922;
310490 BAEPENDI;13.108;1.270;2.533;444;628;63;65;18.111;
310500 BALDIM;4.153;196;2.994;19;328;109;49;7.848;
310510 BAMBUI;18.979;868;2.566;35;4;37;68;22.557;
310520 BANDEIRA;2.426;7;1.072;433;373;131;531;4.973;
310530 BANDEIRA DO SUL;4.535;131;156;9;471;16;-;5.318;
310540 BARAO DE COCAIS;23.433;557;1.030;203;3.016;47;50;28.336;
310550 BARAO DE MONTE ALTO;4.411;89;183;869;87;56;7;5.702;
310560 BARBACENA;106.849;2.100;7.521;1.012;6.484;800;98;124.864;
310570 BARRA LONGA;3.625;102;93;34;1.656;559;54;6.123;
310590 BARROSO;17.046;95;1.192;46;1.057;20;31;19.487;
310600 BELA VISTA DE MINAS;8.626;23;157;19;1.100;51;24;10.000;
310610 BELMIRO BRAGA;1.457;82;226;367;1.233;10;3;3.378;
310620 BELO HORIZONTE;2.254.551;12.627;15.177;15.255;45.626;12.816;1.160;2.357.212;
310630 BELO ORIENTE;16.939;756;2.990;246;2.044;187;151;23.313;
310640 BELO VALE;2.801;829;3.257;100;451;53;39;7.530;
310650 BERILO;3.217;224;7.208;124;147;314;1.051;12.285;
310660 BERTOPOLIS;1.440;90;1.620;424;299;121;487;4.481;
310665 BERIZAL;658;44;3.436;25;-;10;180;4.353;
310670 BETIM;317.633;6.427;40.248;2.281;7.991;1.739;347;376.666;
310680 BIAS FORTES;1.470;13;121;101;1.758;218;106;3.787;
310690 BICAS;12.650;42;231;120;527;3;1;13.574;
310700 BIQUINHAS;20;14;2.549;-;-;-;38;2.621;
310710 BOA ESPERANCA;31.777;2.372;3.988;60;41;48;20;38.306;
310720 BOCAINA DE MINAS;1.663;538;1.512;275;908;82;15;4.993;
310730 BOCAIUVA;33.150;2.422;8.901;342;47;242;1.332;46.436;
310740 BOM DESPACHO;41.457;729;3.099;19;55;53;47;45.459;
310750 BOM JARDIM DE MINAS;4.967;374;5;56;924;94;32;6.452;
310760 BOM JESUS DA PENHA;2.689;403;719;4;34;-;4;3.853;
310770 BOM JESUS DO AMPARO;3.061;146;1.533;38;476;209;6;5.469;
310780 BOM JESUS DO GALHO;8.162;313;2.049;954;3.003;725;95;15.301;
310790 BOM REPOUSO;5.763;22;1.718;655;1.997;213;55;10.423;
310800 BOM SUCESSO;13.743;1.171;2.044;30;62;23;42;17.115;
310810 BONFIM;2.311;292;3.679;27;396;37;27;6.769;
310820 BONFINOPOLIS DE MINAS;3.660;235;1.476;16;14;41;330;5.772;
310825 BONITO DE MINAS;12;48;4.266;10;8;165;5.133;9.642;
310830 BORDA DA MATA;13.607;760;902;73;1.633;28;4;17.007;
310840 BOTELHOS;11.260;408;1.164;104;1.824;41;15;14.816;
310850 BOTUMIRIM;961;18;3.851;101;2;10;1.545;6.488;
310855 BRASILANDIA DE MINAS;1.850;1.100;10.675;32;49;197;275;14.178;
310860 BRASILIA DE MINAS;15.058;1.327;10.480;73;3;143;3.924;31.008;
310870 BRAS PIRES;1.831;469;747;103;1.266;169;15;4.600;
310880 BRAUNAS;1.436;199;421;260;2.486;50;168;5.020;
310890 BRAZOPOLIS;8.749;494;2.159;308;2.698;64;42;14.514;
310900 BRUMADINHO;19.343;2.695;9.838;289;1.429;90;46;33.730;
310910 BUENO BRANDAO;5.475;734;2.775;676;1.087;65;24;10.836;
310920 BUENOPOLIS;3.095;106;5.317;347;352;726;254;10.197;
310925 BUGRE;374;-;785;97;2.661;55;16;3.988;
310930 BURITIS;3.511;2.219;15.888;202;22;76;529;22.447;
310940 BURITIZEIRO;233;908;24.505;48;30;157;881;26.762;
310945 CABECEIRA GRANDE;134;484;5.699;15;-;47;53;6.432;
310950 CABO VERDE;7.781;1.481;3.479;209;478;180;13;13.621;
310960 CACHOEIRA DA PRATA;3.404;108;47;3;84;4;-;3.650;
310970 CACHOEIRA DE MINAS;7.016;1.064;1.706;22;1.092;46;21;10.967;
310980 CACHOEIRA DOURADA;2.218;18;254;-;4;4;-;2.498;
310990 CAETANOPOLIS;6.961;244;2.854;5;25;40;48;10.177;
311000 CAETE;31.480;2.198;3.801;261;2.484;138;71;40.433;
311010 CAIANA;2.494;179;545;1.117;454;168;3;4.960;
311020 CAJURI;2.769;288;208;4;767;-;6;4.042;
311030 CALDAS;7.615;1.063;3.753;383;629;66;39;13.548;
311040 CAMACHO;1.615;702;521;6;165;115;29;3.153;
311050 CAMANDUCAIA;11.968;1.822;3.333;384;3.135;58;121;20.821;
311060 CAMBUI;21.179;1.250;2.743;201;930;4;43;26.350;
311070 CAMBUQUIRA;8.636;1.134;2.002;443;175;61;7;12.458;
311080 CAMPANARIO;2.166;110;837;148;211;27;57;3.556;
311090 CAMPANHA;12.056;319;1.852;10;956;73;26;15.292;
311100 CAMPESTRE;11.398;679;5.158;311;2.683;288;12;20.529;
311110 CAMPINA VERDE;14.130;661;3.790;30;77;72;22;18.782;
311115 CAMPO AZUL;17;517;2.084;6;4;61;973;3.662;
311120 CAMPO BELO;47.487;922;2.030;274;345;86;101;51.245;
311130 CAMPO DO MEIO;9.719;311;1.273;6;1;17;49;11.376;
311140 CAMPO FLORIDO;4.822;70;1.656;115;28;39;54;6.784;
311150 CAMPOS ALTOS;12.526;593;875;79;24;19;33;14.149;
311160 CAMPOS GERAIS;18.655;1.450;7.172;34;103;31;40;27.485;
311170 CANAA;1.843;54;657;8;2.016;15;8;4.601;
311180 CANAPOLIS;10.112;55;1.066;15;25;12;23;11.308;
311190 CANA VERDE;3.914;357;1.128;13;94;34;15;5.555;
311200 CANDEIAS;9.663;1.017;3.127;99;257;247;78;14.488;
311205 CANTAGALO;1.696;310;1.380;19;624;19;137;4.185;
311210 CAPARAO;1.497;727;642;482;1.719;129;7;5.203;
311220 CAPELA NOVA;1.615;7;2.124;10;964;11;12;4.743;
311230 CAPELINHA;19.350;684;12.441;480;349;135;1.089;34.528;
311240 CAPETINGA;5.671;1.084;188;3;17;1;15;6.979;
311250 CAPIM BRANCO;1.516;589;6.381;8;305;9;23;8.831;
311260 CAPINOPOLIS;13.850;585;436;10;138;157;8;15.184;
311265 CAPITAO ANDRADE;3.491;62;292;333;523;176;42;4.919;
311270 CAPITAO ENEAS;2.116;538;10.670;51;3;40;722;14.140;
311280 CAPITOLIO;6.153;874;1.050;16;6;1;8;8.108;
